area,tecnologia,defecto,causa,division,proyecto,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,CORTOS,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX DESPLAZADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX ILEGIBLE,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX INCORRECTA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,DATAMATRIX INCORRECTA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,INTRODUCCION DE PROYECTO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,MUESTRA DE ORO OBSOLETA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,MUESTRA DE ORO OBSOLETA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,PIN ELEVADO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
