area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,CORONA LIMPIEZA,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,HEAT STAKE,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,RFHM CUSW
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,CORONA LIMPIEZA,B&S 2,RKE FOB CUSW
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,HOT TEST,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,RXM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,LASER WELDING,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,HEAT STAKE,B&S 2,RXM
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,SKREEK
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,SMART ECU
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,SMART ECU
