No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
425140	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82134700	NA	A2C53395715	4	3011	054	 	1342	housing WIC P BK A-B	NA	ROH	NA	139.2	PS_SDM10+_C.CAROLINA OT	NO	
425142	3/8/2014	ZSCR	551	034-2	NA	'054	5WK43023	NA	6593331401	50	3011	054	 	1342	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	13	PS_HONDA HRS6_J.JUAN CH	NO	
425142	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44004	NA	A2C53108387	30	3011	054	 	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	5.4	PS_HONDA HRS6_J.JUAN CH	NO	
425142	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	2	3011	054	 	1342	housing	NA	ROH	NA	41.5	PS_HONDA HRS6_J.JUAN CH	NO	
425142	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82097900	NA	A2C53405780	2	3011	054	 	1342	housing	NA	ROH	NA	52.74	PS_HONDA HRS6_J.JUAN CH	NO	
425143	3/8/2014	ZSCR	551	034-2	NA	'054	5WK43610	NA	A2C53324560	238	3011	054	 	1342	certification label spool part p	NA	ROH	NA	119	PS_ARAMIS III_E.EDWIN R	NO	
425150	3/8/2014	ZSCR	551	034-2	NA	'054	A2C38172101	NA	A2C53424040	36	3011	054	 	1342	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	9.72	PSAD_DAIMLER STAR 2_A.A	NO	4975877062
425150	3/8/2014	ZSCR	551	034-2	NA	'054	A2C38172101	NA	A2C83435000	2	3011	054	 	1342	cover FIP T BK	NA	ROH	NA	38.04	PSAD_DAIMLER STAR 2_A.A	NO	4975877062
425150	3/8/2014	ZSCR	551	034-2	NA	'054	A2C32453901	NA	A2C91601100	1	3011	054	 	1342	multipoint connector124/ 81P H 2SYS 1018	NA	ROH	NA	55.16	PSAD_DAIMLER STAR 2_A.A	NO	
425151	3/8/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C30202900	5	3011	054	 	1342	multipoint connector 84P H 2SYS AFAD	NA	ROH	NA	193.85	PS_CHRYSLER MY2013_E.ED	NO	4975876648
425151	3/8/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53424009	10	3011	054	 	1342	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	1.9	PS_CHRYSLER MY2013_E.ED	NO	4975876648
425151	3/8/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53436156	2	3011	054	 	1342	cover RAP T BK	NA	ROH	NA	12.8	PS_CHRYSLER MY2013_E.ED	NO	4975876648
425153	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82538600	NA	A2C82535400	7	3011	054	 	1342	cover	NA	ROH	NA	23.59	PSAD_OPEL 4400_J.JOSE O	NO	
425157	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	100	3011	054	 	1342	sticker	NA	ROH	NA	51	PS_VW10 LC_U.ULISES VIL	NO	4975876681
425157	3/8/2014	ZSCR	551	034-2	NA	'054	5WK43198	NA	A2C00014717	25	3011	054	 	1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	5.5	PS_VW10 LC_U.ULISES VIL	NO	
425157	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44286	NA	A2C00027016	5	3011	054	 	1342	housing	NA	ROH	NA	80.5	PS_VW10 LC_U.ULISES VIL	NO	
425157	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44286	NA	A2C00027389	5	3011	054	 	1342	cover	NA	ROH	NA	12.8	PS_VW10 LC_U.ULISES VIL	NO	
425157	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00027390	6	3011	054	 	1342	cover	NA	ROH	NA	19.14	PS_VW10 LC_U.ULISES VIL	NO	4975876681
