No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
122717	ZSCR	551	040-2	NA	5WY7823	NA	A2C53164054	2	engine control el	NA	ROH	NA	8.04	4956506903
122726	ZSCR	551	034-2	NA	A2C53387753	NA	A2C53379740	2	housing bottom	NA	ROH	NA	2.54	4956506390
122734	ZSCR	551	034-2	NA	5WK49308	NA	A2C53215550	2	Honda Accord RXM housing cover	NA	ROH	NA	2	4956505970
122900	ZSCR	551	040-2	NA	S180052036	NA	A2C00051931	15	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	130.95	4956507194
123277	ZSCR	551	034-2	NA	A2C53407348	NA	A2C53278194	11	"sealing ring 10,45x 4,4 S300Pb"	NA	ROH	NA	20.46	4956506836
123531	ZSCR	551	034-2	NA	5WK49308	NA	A2C53215550	52	Honda Accord RXM housing cover	NA	ROH	NA	52	4956505970
124711	ZSCR	551	034-2	NA	A2C53310663C	NA	6598287001	1	Housing with antenna LF Initiator	NA	ROH	NA	14.11	4956506148
125036	ZSCR	551	040-1	NA	5WK50218	NA	A2C53385267	1	pcb BMWZZDIV 315Mhz	NA	ROH	NA	7.26	4956506873
125039	ZSCR	551	040-3	NA	5WK49521	NA	A2C53105128	34	contact spring	NA	ROH	NA	10.88	4956507202
125613	ZSCR	551	030-1	NA	A2C53428272T	NA	A2C53428225	1	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	52.72	4956505953
125952	ZSCR	551	030-1	NA	5WY7214	NA	6598172132	70	PCB FR4 DOUBLE SIDED PLATED TH	NA	ROH	NA	189	4956505926
125953	ZSCR	551	030-1	NA	5WK50218	NA	A2C53385267	16	pcb BMWZZDIV 315Mhz	NA	ROH	NA	116.16	4956505907
