No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
165321	09/06/2012	ZSCR	551	034-2	NA	5WY8750	NA	S120121001	4	3011	015		1342	Tire Guard grey cap	NA	ROH	NA	3.24	S5_TIS TLS_MIGUEL QUEZA	NO	4958878962
165329	09/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	3				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	173.76	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165330	09/06/2012	ZSCR	551	034-2	NA	A2C31442400	NA	A2C31442400	2				1342	circuit board assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	65.4	S1_TG1C DCX_JAIME JIMEN	NO	4958878455
165331	09/06/2012	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	12				1342	module assy TPM	NA	HALB	S.Real/AutoBF	576	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165332	09/06/2012	ZSCR	551	040-2	NA	5WY8547	NA	A2C53348715	1				1402	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	57.92	S1_TG1C DCX_JAIME JIMEN	NO	4958878642
165333	09/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53311707	3	3011	015		1342	housing	NA	ROH	NA	8.01	S1_TG1C DCX_JAIME JIMEN	NO	4958878943
165369	09/06/2012	ZSCR	551	030-1	NA	A2C53338452T	NA	A2C53306326	8	3011	050		1301	pcb panel multiple rear	NA	ROH	NA	84	S1_DCU_ADRIAN CEBALLOS	NO	4958878858
165370	09/06/2012	ZSCR	551	030-1	NA	A2C53338453T	NA	A2C53306326	16	3011	050		1301	pcb panel multiple rear	NA	ROH	NA	168	S1_DCU_ADRIAN CEBALLOS	NO	4958878882
165372	09/06/2012	ZSCR	551	030-1	NA	5WY8835	NA	A2C53427412	24	3011	050		1301	pcb panel family	NA	ROH	NA	258.72	S1_DCU_ADRIAN CEBALLOS	NO	4958878792
165373	09/06/2012	ZSCR	551	030-1	NA	5WY8835	NA	A2C53427412	24	3011	050		1301	pcb panel family	NA	ROH	NA	258.72	S1_DCU_ADRIAN CEBALLOS	NO	4958878792
165374	09/06/2012	ZSCR	551	030-1	NA	A2C53387023	NA	A2C53387023	1				1301	UNT DR CONTR RR STD	NA	HALB	S.Real/AutoBF	69.37	S1_DCU_ADRIAN CEBALLOS	NO	4958878417
165376	09/06/2012	ZSCR	551	030-1	NA	A2C53387023	NA	A2C53387023	1				1301	UNT DR CONTR RR STD	NA	HALB	S.Real/AutoBF	69.37	S1_DCU_ADRIAN CEBALLOS	NO	4958878417
