No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	A	B	C	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
665813	23/09/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	NA	A2C53108387	5	3011	054	 	1403	"pan head screw SF-M3,5x 10,00 1241"	4	ROH	NA	1	PS_ARAMIS III_.	NO	
665813	23/09/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	NA	A2C53245952	1	3011	054	 	1403	"housing FIP 152,0x 135,7"	4	ROH	NA	24.25	PS_ARAMIS III_.	NO	
665813	23/09/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	NA	A2C53371768	2	3011	054	 	1403	cover FIP T GY	4	ROH	NA	6.02	PS_ARAMIS III_.	NO	
665816	23/09/2015	ZSCR	551	035-1	NA	'054	5WK44094	5WK44094	NA	A2C53324560	50	3011	054	 	1351	certification label spool part p	2	ROH	NA	26.5	PS_ARAMIS III_.	NO	
665817	23/09/2015	ZSCR	551	035-1	NA	'054	5WK43968	5WK43968	NA	A2C53324560	40	3011	054	 	1351	certification label spool part p	5	ROH	NA	21.2	PS_ARAMIS III_.	NO	4994364949
665819	23/09/2015	ZSCR	551	040-5	NA	'054	A2C30910808	A2C30910808	NA	A2C31769100	1	3011	054	 	1405	pin header 50P H 2R PF 1018 13	6	ROH	NA	15.34	PSAD_VW20_.	NO	4994384430
665820	23/09/2015	ZSCR	551	040-3	NA	'054	A2C82134700	A2C82134700	NA	A2C92598000	1	3011	054	 	1403	cover FIP T BK Laser Weld	22	ROH	NA	2.56	PS_SDM30_.	NO	4994363024
665821	23/09/2015	ZSCR	551	040-5	NA	'054	A2C33330514	A2C33330514	NA	A2C91600700	3	3011	054	 	1405	multipoint connector124/ 86P H 2SYS 1018	3	ROH	NA	171.36	PSAD_DAIMLER STAR2_ISC_	NO	
665823	23/09/2015	MB1A	551	040-3	K96019	'054	NA	#N/A	NA	A2C95035705	1	3011	054	 	1095	ACU VW11 MY15 S20 16 06 0 1 0 NAR	NA	FERT	NA	355.84	PS_VW11_.	NO	4994305002
665829	23/09/2015	ZSCR	551	040-1	NA	'054	5WK43875	5WK43875	NA	A2C00013374	0.001	3011	054	 	1401	protective laquer BECTRON PK4340	4	ROH	NA	0.41	PSAD_DAIMLER STAR2_ISC_	NO	
