No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
286005	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C31109500	3	3011	´015	 	1342	valve housing assy	NA	ROH	NA	18.84	S1_TG1C NISSAN_JAIME JI	NO	
286005	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C37351600	3	3011	´015	 	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	129.09	S1_TG1C NISSAN_JAIME JI	NO	4966270638
286005	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53397674	NA	A2C53352996	3	3011	´015	 	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	6.84	S1_TG1C NISSAN_JAIME JI	NO	
286016	4/4/2013	ZSCR	551	022-2	NA	'015	5WY8209	NA	6577362059	11	3011	´015	 	1222	"4.7NF,10%,100V,X7R,0805,NISN,C"	NA	ROH	NA	0.44	S1_LF_ADRIAN CEBALLOS (	NO	
286016	4/4/2013	ZSCR	551	022-2	NA	'015	A2C53310663C	NA	A2C53310663	1	3011	´015	 	1222	circuit board assy CHR DCX MY	NA	HALB	S.Real	20.46	S1_LF_ADRIAN CEBALLOS (	NO	
286095	4/4/2013	ZSCR	551	034-2	NA	'015	S180052042	NA	A2C30188101	1	3011	´015	 	1342	wheel unit TPM HL	NA	HALB	S.Real/AutoBF	53.9	S5_TG1C HONDA_MIGUEL QU	NO	4966270413
286096	4/4/2013	ZSCR	551	034-2	NA	'015	S180052042	NA	A2C53311707	1	3011	´015	 	1342	housing	NA	ROH	NA	2.43	S5_TG1C HONDA_MIGUEL QU	NO	
286097	4/4/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	3	3011	´015	 	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	161.61	S5_TG1C HONDA_MIGUEL QU	NO	4966270783
286098	4/4/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	2	3011	´015	 	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	107.74	S5_TG1C HONDA_MIGUEL QU	NO	4966270783
286099	4/4/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53397674	4	3011	´015	 	1342	Parts kit assy TG1C Nissan 315 FSK	NA	HALB	S.Real/AutoBF	216	S1_TG1C NISSAN_JAIME JI	NO	4966270832
286100	4/4/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	3011	´015	 	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI	NO	
286103	4/4/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C53397674	1	3011	´015	 	1342	Parts kit assy TG1C Nissan 315 FSK	NA	HALB	S.Real/AutoBF	54	S1_TG1C NISSAN_JAIME JI	NO	4966270832
286105	4/4/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53407338	1	3011	´015	 	1342	Control device TG1C NISSAN 315 ASK	NA	HALB	S.Real/AutoBF	54.21	S1_TG1C NISSAN_JAIME JI	NO	4966270946
286107	4/4/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C37351600	1	3011	´015	 	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	43.03	S1_TG1C NISSAN_JAIME JI	NO	4966270638
286108	4/4/2013	ZSCR	551	034-2	NA	'015	S180052035	NA	A2C37351600	1	3011	´015	 	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	43.03	S1_TG1C NISSAN_JAIME JI	NO	4966270638
286110	4/4/2013	ZSCR	551	034-2	NA	'015	A2C37351000	NA	A2C37350900	1	3011	´015	 	1342	housing assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.03	S1_TG1C NISSAN_JAIME JI	NO	4966270611
286121	4/4/2013	ZSCR	551	034-2	NA	'015	A2C73801403	NA	A2C73849703	6	3011	´015	 	1342	pcb top PF BCU CHR high SER/TEST	NA	HALB	S.Real/AutoBF	2933.88	S1_CBC_PABLO PALMER-CAS	NO	4966271068
286122	4/4/2013	ZSCR	551	040-1	NA	'015	A2C82167600	NA	A2C82167600	1	3011	´015	 	1401	pcb assy	NA	HALB	S.Real/AutoBF	193.02	S1_WK_WD RFHUB_ADRIANA	NO	
286124	4/4/2013	ZSCR	551	030-1	NA	'015	A2C82167600	NA	A2C82167600	1	3011	´015	 	1301	pcb assy	NA	HALB	S.Real/AutoBF	193.02	S1_WK_WD RFHUB_ADRIANA	NO	4966270398
286126	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73801403	NA	A2C73801403	1	3011	´015	 	1301	BCU CHR MY13 max SER/TEST/DS/WK	NA	FERT	NA	1016.44	S1_CBC_PABLO PALMER-CAS	NO	
286131	4/4/2013	ZSCR	551	040-4	NA	'015	A2C73849703	NA	A2C73849703	1	3011	´015	 	1404	pcb top PF BCU CHR high SER/TEST	NA	HALB	S.Real/AutoBF	488.98	S1_CBC_PABLO PALMER-CAS	NO	
286135	4/4/2013	ZSCR	551	040-5	NA	'015	A2C73601701	NA	A2C73601701	1	3011	´015	 	1405	SUB-ASS. TOP THD CHYSR CBC TEST/DSMY13	NA	HALB	S.Real/AutoBF	486.77	S1_CBC_PABLO PALMER-CAS	NO	
286139	4/4/2013	MB1A	551	010-4	95000206	'050	NA	NA	A2C73519600	4				1104	PCB CHRYSLER CBC (1-SCREW)-MY13update	QN410092222	ROH	NA	307.28	S1_CBC_PABLO PALMER-CAS	NO	4966269881
286143	4/4/2013	ZSCR	551	034-2	NA	'015	A2C73658000	NA	A2C73658000	2	3011	´015	 	1342	TIPM 7Ci MY13 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	450.16	S1_TIPM MEDIUM_PABLO PA	NO	
286144	4/4/2013	ZSCR	551	034-2	NA	'050	A2C3818940092	NA	A2C30840500	48	3011	050		1342	PCB	NA	ROH	NA	75.36	S1_TG1C HYUNDAI_MIGUEL	NO	
286145	4/4/2013	ZSCR	551	034-2	NA	'050	A2C53249817	NA	A2C53249817	6	3011	050		1342	circuit board assy CHR (DCX)	NA	HALB	S.Real	675.54	S1_WIN_ADRIANA REYES (A	NO	
