No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00004349	2579	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	25.79	4956269623
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00006147	1	1351	"470uH,470mA,SMD,COIL/"		ROH	NA	1.94	4956269663
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00006235	386	1351	"IC SMART POW/BSP78,SOT223,1,40V,50mOhm,L"		ROH	NA	1134.84	4956269623
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00006606	5582	1351	"100K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	55.82	4956269579
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00006952	8	1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	0.16	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00008022	1	1351	OCTAL BUS TRANSCEIVER 74AHCT245		ROH	NA	0.98	4956269623
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00010444	1420	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	14.2	4956269579
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00010908	1551	1351	"27K,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	15.51	4956269573
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00013031	1	1351	"100uF,20%,35V,SMD,AL,ELEC CAP/EEVFC1V101"		ROH	NA	0.98	4956269663
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00016702	222	1351	"R LIN,10R,5%,TK200,63mW,0402"		ROH	NA	2.22	4956269573
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00017660	1	1351	"42V,34mOhm,TO252/DPAK,GENERAL PURPOSE,LO"		ROH	NA	5.27	4956269663
124659	ZSCR	551	035-1	0	A2C53309877	NA	A2C00017679	1190	1351	contact spring		ROH	NA	1213.8	4956269573
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00018116	1	1351	"22uF,10%,35V,SMD,AL,ELEC CAP/Aluminum El"		ROH	NA	1.44	4956269663
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00020090	1661	1351	"C CER,X7R,47nF,10%,16V,0402,Sn"		ROH	NA	33.22	4956269579
124659	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00020500	1	1351	"30V,300mA,1,SCHOTTKY,SOD123,RECT DIODE/S"		ROH	NA	0.26	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00020711	1	1351	"SAE/J1850 VPWM Transceiver,OTHER IC/SAE/"		ROH	NA	7.53	4956269700
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00022742	203	1351	"2.2nF,2%,100V,C0G,1206,TINNED,CER CAP/"		ROH	NA	85.26	4956269623
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C00023829	1	1351	"16MHz,0.5%,CSACV,CER RESONATOR"		ROH	NA	2.08	4956269663
124659	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00023993	1	1351	"47pF,1%,50V,C0G,0402,TINNED,CER CAP/GCP"		ROH	NA	0.02	4956269579
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00024522	21	1351	"1uF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	2.1	4956269623
