No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143716	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	1301	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	1043	S1_TIPM LOGIC_ (APROBA	4957510479		
143717	ZSCR	551	040-3	NA	A2C53428271	NA	A2C53428272	1403	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	S1_TIPM LOGIC_ (APROBA	4957510818		
143718	ZSCR	551	040-2	NA	5WY8842	NA	A2C53428271	1402	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	S1_TIPM LOGIC_ (APROBA	4957511576		
143719	ZSCR	551	030-1	NA	5WY9011M	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	446.96	S1_TIPM MEDIUM_ (APROB	4957511120		
143720	ZSCR	551	030-1	NA	5WY9011M	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957511120		
143722	ZSCR	551	034-2	NA	5WY8842	NA	A2C53428271	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	1564.5	S1_TIPM LOGIC_ (APROBA	4957511394		
143724	ZSCR	551	034-2	NA	5WY8919	NA	A2C32144600	1342	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real/AutoBF	1169.04	S1_SPDJB_ (APROBACION	4957510537		
143725	ZSCR	551	034-2	NA	5WY8923	NA	A2C32119300	1342	MY12 SPDJB HELIX PROGRAM ASM MODEL C	NA	HALB	S.Real/AutoBF	998.34	S1_SPDJB_ (APROBACION	4957510522		
143727	ZSCR	551	034-2	NA	5WK49845	NA	A2C53339918	1342	housing assy	NA	ROH	NA	7.54	S5_TG ECU_ (APROBACION	4957513155		
143728	ZSCR	551	034-2	NA	5WK49525	NA	A2C53295357B	1342	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	580.09	S5_FOB ACURA 08_ENRIQUE	4957511350		
143729	ZSCR	551	022-2	NA	5WK49210	NA	A2C53190307	1222	circuit board assy	NA	HALB	S.Real	341.76	S5_RXM_ (APROBACION AU	4957511077		
143729	ZSCR	551	022-2	NA	5WK49210	NA	A2C53216753	1222	cover	NA	ROH	NA	7.44	S5_RXM_ (APROBACION AU	4957511991		
143729	ZSCR	551	022-2	NA	5WK49210	NA	A2C53216755	1222	housing	NA	ROH	NA	97.84	S5_RXM_ (APROBACION AU	4957511991		
143731	ZSCR	551	034-2	NA	5WK49308	NA	A2C53215555	1342	contact spring	NA	ROH	NA	196.56	S5_TXK_ (APROBACION AU	4957512985		
