No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
640385	10/07/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	3	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
640386	10/07/2015	ZSCR	551	040-1	NA	'015	A2C8647920393	NA	A2C8647920393	1	1401	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914759
640387	10/07/2015	ZSCR	551	040-3	NA	'015	A2C8647920393	NA	A2C8647920393	2	1403	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914770
640456	11/07/2015	ZSCR	551	030-1	NA	'050	A2C8314420093	NA	A2C8314420093	7	1301	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915186
640519	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	3	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
640531	11/07/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
640535	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8673320193	NA	A2C8673320193	1	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916701
640590	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8673310193	NA	A2C8673310193	2	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916693
640591	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8673310193	NA	A2C8673310193	1	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916693
640596	11/07/2015	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
640597	11/07/2015	ZSCR	551	034-2	NA	'015	A2C9337410093	NA	A2C9337410093	1	1342	HALB	S.Real	S1_TG1C HYUNDAI_M.MIGUE	4991914666
