No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
529085	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53402397	NA	A2C00036085	61	1342	NA	ROH	131.15	S1_TG1C HYUNDAI_M.MIGUE	NO	4982656047		
529085	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53402397	NA	A2C00061138	4	1342	NA	ROH	27.8	S1_TG1C HYUNDAI_M.MIGUE	NO	4982656047		
529094	02/10/2014	ZSCR	551	034-2	NA	'050	S180052042	NA	A2C86365300	48	1342	NA	ROH	69.12	S1_TG1C NISSAN_J.JAIME	NO	4982656098		
529141	03/10/2014	ZSCR	551	034-2	NA	'050	S180052042K	NA	A2C86365300	48	1342	NA	ROH	69.12	S1_TG1C NISSAN_J.JAIME	NO	4982656098		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53328411	NA	A2C00018230	3	1342	NA	ROH	0.48	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53304026	NA	A2C00030255	63	1342	NA	ROH	32.13	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53402397	NA	A2C00036085	6	1342	NA	ROH	12.9	S1_DCU_A.ADRIAN CEBALLO	NO	4982655851		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53402398	NA	A2C00044858	36	1342	NA	ROH	70.2	S1_DCU_A.ADRIAN CEBALLO	NO	4982655851		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53402397	NA	A2C00057747	4	1342	NA	ROH	41.32	S1_DCU_A.ADRIAN CEBALLO	NO	4982655851		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C53402397	NA	A2C00057749	4	1342	NA	ROH	7.08	S1_DCU_A.ADRIAN CEBALLO	NO	4982655851		
529197	03/10/2014	ZSCR	551	034-2	NA	'050	A2C32297200	NA	A2C00062569	13	1342	NA	ROH	19.37	S1_DCU_A.ADRIAN CEBALLO	NO	4982655851		
529230	03/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	120	1253	VUG148864	ROH	327.6	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
529259	03/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304050	81	1253	VUG148864	ROH	200.88	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
529259	03/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	80	1253	VUG148864	ROH	218.4	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
529379	03/10/2014	ZSCR	551	034-2	NA	'015	A2C53304026	NA	A2C53304052	2	1342	NA	ROH	5.46	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
529399	03/10/2014	MB1A	951	025-4	NA	'015	NA	NA	A2C53310663H	161	1254	NA	HALB	6118	S1_LF_A.ADRIAN CEBALLOS	NO	4982656608		
529411	03/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304050	24	1253	VUG148864	ROH	59.52	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
529411	03/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	120	1253	VUG148864	ROH	327.6	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
529418	03/10/2014	ZSCR	551	034-2	NA	'015	A2C90228800	NA	A2C53311707	1	1342	NA	ROH	2.4	S1_TG1C NISSAN_J.JAIME	NO	4982656098		
529433	03/10/2014	ZSCR	551	030-1	NA	'050	S180150005	NA	A2C80931200	60	1301	NA	ROH	82.2	S1_TIS 1D MMC_J.JAIME J	NO	4982656399		
529480	03/10/2014	ZSCR	551	030-1	NA	'050	A2C3156350092	NA	A2C86365300	48	1301	NA	ROH	69.12	S5_TG1C HONDA_M.MIGUEL	NO	4982656531		
529530	03/10/2014	ZSCR	551	030-1	NA	'050	A2C53410546	NA	A2C53427412	8	1301	NA	ROH	67.52	S1_DCU_A.ADRIAN CEBALLO	NO	4982655862		
529581	04/10/2014	ZSCR	551	034-2	NA	'015	A2C32253300	NA	A2C53422372	21	1342	NA	ROH	49.77	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
529583	04/10/2014	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53422372	9	1342	NA	ROH	21.33	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
529636	04/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	80	1253	VUG148864	ROH	218.4	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
																			
