No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Adp		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
451652	01/05/2014	ZSCR	551	040-2	NA	'045	5WK48900	NA	A2C00004906	3	3011	45		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	4.92	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C53333375	2	3011	45		1402	ring	NA	ROH	NA	0.94	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34971300	2	3011	45		1402	clip	NA	ROH	NA	0.98	S1_FOB K2XX_L.LUIS LOPE	NO	
451655	01/05/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	20	3011	45		1403	ring	NA	ROH	NA	9.4	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
451689	02/05/2014	ZSCR	551	040-2	NA	'045	A2C31099700	NA	A2C53414278	1	3011	45		1402	cover	NA	ROH	NA	3.13	S2_BCM SQUARE D_R.RODRI	NO	
451689	02/05/2014	ZSCR	551	040-2	NA	'045	A2C31099700	NA	A2C53414277	6	3011	45		1402	cover connector	NA	ROH	NA	30.24	S2_BCM SQUARE D_R.RODRI	NO	
451694	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C40001221	3	3011	45		1402	"C ELEC,AL,470uF,20%,35V"	NA	ROH	NA	2.91	S1_BCM K2XX_L.LUIS LIZA	NO	
451700	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614401	5	3011	45		1402	BOTTOM_HOUSING_GLOBAL A BCM	NA	ROH	NA	27.8	S1_BCM K2XX_L.LUIS LIZA	NO	
451700	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C34685500	40	3011	45		1402	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	24.8	S1_BCM K2XX_L.LUIS LIZA	NO	
451700	02/05/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614301	1	3011	45		1402	TOP_HOUSING_GLOBAL A BCM	NA	ROH	NA	8.61	S1_BCM K2XX_L.LUIS LIZA	NO	
