No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00004486	306	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	3.06	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004486	84	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.84	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00004486	438	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	4.38	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00004486	306	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	3.06	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004486	84	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.84	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00005901	1	3011	050		1351	"36K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00005901	1	3011	050		1351	"36K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00006721	1	3011	050		1351	"174K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00006721	1	3011	050		1351	"174K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00006952	403	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	8.06	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00006952	568	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	11.36	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00006952	252	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	5.04	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00006952	403	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	8.06	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00006952	568	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	11.36	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00006952	252	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	5.04	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00006969	191	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	13.37	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00006969	48	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	3.36	ES_V8 V10_NA	4958241346
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00006969	22	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.54	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00006969	17	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.19	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00006969	191	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	13.37	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00006969	48	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	3.36	ES_V8 V10_NA	4958241346
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00006969	22	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.54	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00006969	17	3011	050		1351	"220nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.19	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00007840	1	3011	050		1351	"68uF,20%,10V,SMD,TA,ELEC CAP/B45196"		ROH	NA	0.99	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00007840	1	3011	050		1351	"68uF,20%,10V,SMD,TA,ELEC CAP/B45196"		ROH	NA	0.99	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00010472	11	3011	050		1351	"47K,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	0.11	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00010472	11	3011	050		1351	"47K,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	0.11	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00010733	2	3011	050		1351	"0R051,250mW,2.21A,5nH,1206,SHUNT/WSL"		ROH	NA	2.9	ES_V8 V10_NA	4958241255
