area,tecnologia,defecto,causa,division,proyecto
SMD,SIPLACE,COMPONENTE ADICIONAL,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,PCB ABORTADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,PROVEEDOR,PSAD,HYUNDAI
SMD,SIPLACE,DESPLAZADO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,MATERIAL OBSOLETO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,SET UP DE EQUIPO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,SET UP DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
SMD,SIPLACE,SIN PRUEBA ANTERIOR,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SET UP DE EQUIPO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,PIN DE CONECTOR SUMIDO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,PIN DE CONECTOR SUMIDO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,MAL DISEÑO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DTA,MUESTRA DE ORO OBSOLETA,METODO,PSAD,HYUNDAI
