No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	´015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
564618	#########	ZSCR	551	034-2	NA	'050	A2C80656500R	NA	A2C53331174	25				1342	antenna	NA	ROH	NA	42.25	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C32295700	NA	A2C40000660	11				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	231.88	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C80656500R	NA	A2C53331174	15				1342	antenna	NA	ROH	NA	25.35	S1_WK_WD RFHUB_A.ADRIAN	NO		
564619	#########	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C53375403	2				1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO		
564970	#########	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40002143	161				1351	"R LIN,1K5,5%,TK200,100mW,0603"		ROH	NA	1.61	S1_TIPM MEDIUM_M.MIGUEL	NO		
564970	#########	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40005523	34				1351	"R NET,10K,5%,63mW,1206"		ROH	NA	0.68	S1_TIPM MEDIUM_M.MIGUEL	NO		
564973	#########	ZSCR	551	035-1	0	'050	A2C8016280092	NA	A2C00049292	2				1351	"IC SMART POW/VNN1NV04PTR-E,SOT223,1,40V,"		ROH	NA	2.44	S1_RFHM CUSW_J.JORGE AG	NO		
564973	#########	ZSCR	551	035-1	0	'050	A2C8730220093	NA	A2C53331174	164				1351	antenna		ROH	NA	277.16	S1_RFHM CUSW_J.JORGE AG	NO		
564973	#########	ZSCR	551	035-1	0	'050	A2C8216780093	NA	A2C53331174	17				1351	antenna		ROH	NA	28.73	S1_RFHM CUSW_J.JORGE AG	NO		
564973	#########	ZSCR	551	035-1	0	'050	A2C8016290093	NA	A2C53331174	60				1351	antenna		ROH	NA	101.4	S1_RFHM CUSW_J.JORGE AG	NO		
564978	#########	ZSCR	551	035-1	0	'050	A2C7384970693	NA	A2C40002614	3				1351	"T BIP/BC807-40,SOT23"		ROH	NA	0.21	S1_CBC_M.MIGUEL BANUELO	NO		
564978	#########	ZSCR	551	035-1	0	'050	A2C7384970593	NA	A2C40002614	1				1351	"T BIP/BC807-40,SOT23"		ROH	NA	0.07	S1_CBC_M.MIGUEL BANUELO	NO		
564978	#########	ZSCR	551	035-1	0	'050	A2C7384970593	NA	A2C40005594	1				1351	"TA CAP,TA,10uF,10%,16V,SMD"		ROH	NA	0.45	S1_CBC_M.MIGUEL BANUELO	NO		
565365	#########	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C82135300	32				1342	pcb 4-lay FR-4 ImSn	NA	ROH	NA	1040.96	S1_WK_WD RFHUB_A.ADRIAN	NO		
565376	#########	ZSCR	551	034-2	NA	'050	5WY9000	NA	A2C00062952	7				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	57.54	S1_TIPM MEDIUM_P.PABLO	NO		
565376	#########	ZSCR	551	034-2	NA	'050	5WY8842	NA	A2C40018533	12				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	52.32	S1_TIPM MEDIUM_P.PABLO	NO		
565743	#########	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	22				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	463.76	S1_WK_WD RFHUB_A.ADRIAN	NO		
565754	#########	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C40018533	36				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	156.96	S1_TIPM MEDIUM_P.PABLO	NO		
565755	#########	ZSCR	551	034-2	NA	'050	5WY9000	NA	A2C00062952	11				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	90.42	S1_TIPM MEDIUM_P.PABLO	NO		
565755	#########	ZSCR	551	034-2	NA	'050	5WY9011	NA	A2C00062952	38				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	312.36	S1_TIPM MEDIUM_P.PABLO	NO		
565985	#########	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	3				1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1242.48	S1_CBC MY15_. (APROBAC	NO	4985701563	
565986	#########	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1				1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985701563	
565987	#########	ZSCR	551	042-4	NA	'015	A2C74493401	NA	A2C7449340193	1				1424	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985702252	
566139	#########	ZSCR	551	034-2	NA	'015	A2C7449340193	NA	A2C7449340193	1				1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985701563	
566185	#########	ZSCR	551	040-3	NA	'015	A2C74493401	NA	A2C74493401	5				1403	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	2083.8	S1_CBC MY15_. (APROBAC	NO	4985706186	**
566288	#########	ZSCR	551	030-1	NA	'015	A2C74493401	NA	A2C7449340193	1				1301	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985701538	
566291	#########	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	2				1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO	4985701563	
566324	#########	ZSCR	551	034-2	NA	'015	A2C82167600	NA	A2C8216760093	2				1342	pcb assy Top	NA	HALB	S.Real	341.32	S1_WK_WD RFHUB_A.ADRIAN	NO	4985702830	
566324	#########	ZSCR	551	034-2	NA	'015	A2C82167700	NA	A2C8216770093	1				1342	pcb assy Top	NA	HALB	S.Real	168.24	S1_WK_WD RFHUB_A.ADRIAN	NO	4985702763	
566324	#########	ZSCR	551	034-2	NA	'015	A2C82167800	NA	A2C8216780093	4				1342	pcb assy TOP	NA	HALB	S.Real	649.88	S1_WK_WD RFHUB_A.ADRIAN	NO	4985702726	
566328	#########	ZSCR	551	034-2	NA	'050	A2C73849703	NA	A2C00249100	3				1342	"IC SMART POW/MC10XS3535/SPP1035,24 PQFN,"	NA	ROH	NA	58.53	S1_CBC MY15_. (APROBAC	NO		
566547	#########	ZSCR	551	050-1	NA	'015	A2C74493401	NA	A2C7449340193	1				1501	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO	4985702261	
566548	#########	ZSCR	551	040-4	NA	'015	A2C74493401	NA	A2C7449340193	2				1404	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO	4985702240	
566668	#########	ZSCR	551	050-1	NA	'015	A2C74493401	NA	A2C74493401	6				1501	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	2500.56	S1_CBC MY15_. (APROBAC	NO	4985706476	**
566670	#########	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	5				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	2083.8	S1_CBC MY15_. (APROBAC	NO	4985706020	**
566671	#########	ZSCR	551	034-2	NA	'015	A2C74304302	NA	A2C73637100	5	3011	015	 	1342	"HOUSING, UPPER CBC"	NA	ROH	NA	120.1	S1_CBC MY15_. (APROBAC	NO	4985765588	
566677	#########	ZSCR	551	050-1	NA	'015	A2C86022600	NA	A2C53105128	2	3011	015	 	1501	Contact Spring positive	NA	ROH	NA	0.56	S1_CUSW UF RFHM_A.ADRIA	NO	Batch	
566677	#########	ZSCR	551	050-1	NA	'015	A2C86022800	NA	A2C73750400	5	3011	015	 	1501	housing bottom assy CHR	NA	ROH	NA	39.05	S1_CUSW UF RFHM_A.ADRIA	NO		
566677	#########	ZSCR	551	050-1	NA	'015	A2C86022600	NA	A2C73750700	2	3011	015	 	1501	pad Jewel CHR	NA	ROH	NA	10.72	S1_CUSW UF RFHM_A.ADRIA	NO	Batch	
