No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	 	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00006616	129	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	1.29	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00006616	10	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.1	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00011061	1	1351	"1,NPN,RET,100mA,50V,SOT323_3,BIP/BCR133W"		ROH	NA	0.09	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00011220	64	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.64	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00011220	4	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.04	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00019439	31	1351	"T BIP/BCR35PN E6327,SOT363"		ROH	NA	5.89	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950093	NA	A2C00019595	1	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_FIAT BRAZIL_N.NORTON	NO	4987639569		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00019595	1	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00020218	1	1351	"12pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.02	PS_FIAT BRAZIL_N.NORTON	NO	4987640407		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00021296	31	1351	"1,NPN,RET,100mA,50V,SOT323,BIP/BCR116W E"		ROH	NA	3.41	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00023789	77	1351	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	1.54	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050093	NA	A2C00023789	97	1351	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	1.94	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00023789	64	1351	"47nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	1.28	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00037882	9	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.09	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950093	NA	A2C00037882	1	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_FIAT BRAZIL_N.NORTON	NO	4987639569		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00040894	7	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	1.12	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00040894	9	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	1.44	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
