No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
552846	20/11/2014	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	118.23	PS_FIAT BRAZIL_E.EDWIN	NO		
552848	20/11/2014	ZSCR	551	030-1	NA	'054	A2C85901111	NA	A2C87057001	1	3011	054	 	1301	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	420.33	PSAD_DAIMLER STAR 2_A.A	NO		
552850	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30910800	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	137.33	PSAD_VW20_U.ULISES VILL	NO	4984277958	
552859	20/11/2014	ZSCR	551	030-1	NA	'054	A2C8334150092	NA	A2C34638400	8	3011	054	 	1301	pcb 6-lay main	NA	ROH	NA	198.48	PS_SDM10+_.	NO		
552861	20/11/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53436156	2	3011	054	 	1342	cover RAP T BK	NA	ROH	NA	12.8	PS_CHRYSLER MY2013_E.ED	NO	4984277874	
552863	20/11/2014	ZSCR	551	040-5	NA	'054	A2C83971300	NA	A2C40000025	3	3011	054	 	1405	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	20.49	PS_SDM10+_.	NO		
552866	20/11/2014	ZSCR	551	042-4	NA	'054	A2C31080700	NA	A2C53330109	7	3011	054	 	1424	socket	NA	ROH	NA	126.7	PSAD_DAIMLER STAR 2_A.A	NO	4984278051	
552866	20/11/2014	ZSCR	551	042-4	NA	'054	A2C38172105	NA	A2C91593500	1	3011	054	 	1424	multipoint connector124/ 59P H 2SYS 1018	NA	ROH	NA	51.92	PSAD_DAIMLER STAR 2_A.A	NO		
552866	20/11/2014	ZSCR	551	042-4	NA	'054	A2C92704001	NA	A2C91600800	2	3011	054	 	1424	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	115.58	PSAD_DAIMLER STAR 2_A.A	NO		
552869	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30930103	NA	A2C53338029	6	3011	054	 	1301	pcb panel multiple 6-up main	NA	ROH	NA	128.28	PS_ARAMIS III_E.EDWIN R	NO	4984278020	
552872	20/11/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO		
552873	20/11/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO		
552874	20/11/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO		
552875	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO		
552876	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO		
552877	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83971800	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO		
552878	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO		
552879	20/11/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	4	3011	054	 	1301	pcb	NA	ROH	NA	91.56	PS_SDM30_.	NO		
552880	20/11/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	4	3011	054	 	1301	pcb	NA	ROH	NA	91.56	PS_SDM30_.	NO		
552883	20/11/2014	ZSCR	551	030-1	NA	'054	5WKHRS5	NA	A2C53295039	6	3011	054	 	1301	pcb HONDA ACU16 main	NA	ROH	NA	100.5	PS_HONDA HRS5_.	NO	4984277651	
552884	20/11/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412221	18	3011	054	 	1301	pcb GM BRAZIL S	NA	ROH	NA	255.42	PSAD_GM BRASIL_A.ANA TA	NO		
552889	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_.	NO		
552890	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30910800	NA	A2C3250900093	4	3011	054	 	1301	circuit board assy TOP side VW20	NA	HALB	S.Real	482.64	PSAD_VW20_U.ULISES VILL	NO	4984277958	
552891	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30910806	NA	A2C3250900093	5	3011	054	 	1301	circuit board assy TOP side VW20	NA	HALB	S.Real	603.3	PSAD_VW20_U.ULISES VILL	NO	4984277976	
552896	20/11/2014	ZSCR	551	030-1	NA	'054	A2C85901111	NA	A2C8705700193	2	3011	054	 	1301	pcb assy DAGSTAR2 D_18 SMD TOP	NA	HALB	S.Real	675.68	PSAD_DAIMLER STAR 2_A.A	NO		
552899	20/11/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552901	20/11/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	2	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	545.84	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552902	20/11/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552904	20/11/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	4	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	1091.68	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552906	20/11/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070093	2	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	545.84	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552908	20/11/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO		
552909	20/11/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	4	3011	054	 	1301	pcb assy	NA	HALB	S.Real	267.12	OC_BOSE BMW_A.ANA TAPIA	NO	4984277495	
552910	20/11/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	66.78	OC_BOSE BMW_A.ANA TAPIA	NO	4984277495	
552914	20/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO		
552918	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30910800	NA	A2C3250900093	1	3011	054	 	1301	circuit board assy TOP side VW20	NA	HALB	S.Real	120.66	PSAD_VW20_U.ULISES VILL	NO	4984277958	
552920	20/11/2014	ZSCR	551	030-1	NA	'054	A2C30910800	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	137.33	PSAD_VW20_U.ULISES VILL	NO	4984277958	
552921	20/11/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	66.78	OC_BOSE BMW_A.ANA TAPIA	NO	4984277495	
