No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
439791	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535000	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
439792	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535200	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
439793	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535200	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	377.5	PSAD_OPEL 4400_J.JOSE O	NO				
439797	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535200	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
439801	4/6/2014	ZSCR	551	030-1	NA	'054	A2C80954100	NA	A2C8095410093	1301	pcb assy VW10 V07 TOP	NA	HALB	S.Real	205.64	PS_VW10 LC_U.ULISES VIL	NO				
439802	4/6/2014	ZSCR	551	030-1	NA	'054	A2C80954100	NA	A2C8095410093	1301	pcb assy VW10 V07 TOP	NA	HALB	S.Real	205.64	PS_VW10 LC_U.ULISES VIL	NO				
439803	4/6/2014	ZSCR	551	030-1	NA	'054	A2C80954100	NA	A2C8095410093	1301	pcb assy VW10 V07 TOP	NA	HALB	S.Real	205.64	PS_VW10 LC_U.ULISES VIL	NO				
439808	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C83971900	1301	pcb topSMD	NA	HALB	S.Real/AutoBF	335.21	PS_SDM10+_C.CAROLINA OT	NO				
439819	4/6/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C81543200	1301	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO				
439821	4/6/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C81543200	1301	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO				
439822	4/6/2014	ZSCR	551	030-1	NA	'054	A2C86816802	NA	A2C86617100	1301	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO				
439824	4/6/2014	ZSCR	551	030-1	NA	'054	A2C84851600	NA	A2C84835300	1301	pcb assy VW10 V08	NA	HALB	S.Real	261.65	PS_VW10 LC_U.ULISES VIL	NO				
439876	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83377700	NA	A2C8337770093	1301	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	415.4	PSAD_LAND ROVER_J.JOSE	NO				
439878	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83016700	NA	A2C8301690093	1301	pcb assy PSAG3I 8-V CAN Top	NA	HALB	S.Real	189.01	PSAD_PSA CAN_J.JOSE ORT	NO				
439879	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83377700	NA	A2C8337770093	1301	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	415.4	PSAD_LAND ROVER_J.JOSE	NO				
439880	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83377700	NA	A2C8337770093	1301	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	415.4	PSAD_LAND ROVER_J.JOSE	NO				
439900	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83377700	NA	A2C8337770093	1301	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	415.4	PSAD_LAND ROVER_J.JOSE	NO				
439901	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83377700	NA	A2C8337770093	1301	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	415.4	PSAD_LAND ROVER_J.JOSE	NO				
439913	4/6/2014	ZSCR	551	030-1	NA	'054	A2C8397190093	NA	A2C8397190092	1301	pcb topSMD bottom	NA	HALB	S.Real/AutoBF	116.61	PS_SDM10+_C.CAROLINA OT	NO				
