No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP								
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO									
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO									
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53324560	1	3011	054	 	1401	certification label spool part p	NA	ROH	NA	0.5	PS_ARAMIS 2013_E.EDWIN	NO									
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	3011	054	 	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO									
561844	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO									
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO									
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO									
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	3011	054	 	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO									
561846	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO									
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO									
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO									
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	3011	054	 	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO									
561847	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO									
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108379	1	3011	054	 	1401	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS 2013_E.EDWIN	NO									
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53108387	5	3011	054	 	1401	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.9	PS_ARAMIS 2013_E.EDWIN	NO									
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C53331574	1	3011	054	 	1401	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS 2013_E.EDWIN	NO									
561849	08/12/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO									
561851	08/12/2014	ZSCR	551	040-5	NA	'054	5WK43967	NA	A2C53108376	1	3011	054	 	1405	"housing FIP 175,0x 152,0"	NA	ROH	NA	20.02	PS_ARAMIS II MCG_F.FERN	NO	4985061796								
561851	08/12/2014	ZSCR	551	040-5	NA	'054	5WK43967	NA	A2C53108377	1	3011	054	 	1405	cover FIP T GY	NA	ROH	NA	3.88	PS_ARAMIS II MCG_F.FERN	NO	4985061796								
561851	08/12/2014	ZSCR	551	040-5	NA	'054	5WK43967	NA	A2C53108387	7	3011	054	 	1405	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1.26	PS_ARAMIS II MCG_F.FERN	NO	4985061796								
561851	08/12/2014	ZSCR	551	040-5	NA	'054	5WK43967	NA	A2C53243155MI	1	3011	054	 	1405	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	428.49	PS_ARAMIS II MCG_F.FERN	NO	4985061796								
561851	08/12/2014	ZSCR	551	040-5	NA	'054	5WK43967	NA	A2C53324560	1	3011	054	 	1405	certification label spool part p	NA	ROH	NA	0.5	PS_ARAMIS II MCG_F.FERN	NO	4985061796								
561874	08/12/2014	ZSCR	551	030-1	NA	'054	A2C9296150093	NA	A2C9296150092	8				1301	pcb assy GMSDM40 bottom	NA	HALB	S.Real/AutoBF	673.52	PS_SDM40_.	NO									
