No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	APD	Espacio	Reason Code	Descripción	g	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
544185	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53345102	NA	A2C53183409	2	3011	054	 	1301	circuit board assy	2	HALB	S.Real	377.02	PSAD_EPSILON_O.OSCAR FO	NO	
544295	03/11/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	8	3011	054	 	1301	pcb	1	ROH	NA	183.12	PS_SDM30_.	NO	
544312	03/11/2014	ZSCR	551	030-1	NA	'054	A2C32453907	NA	A2C3511610093	1	3011	054	 	1301	pcb assy DAGSTAR2 V02	3	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	
544316	03/11/2014	ZSCR	551	030-1	NA	'054	A2C38171903	NA	A2C8522100193	1	3011	054	 	1301	pcb assy DAGSM D_2_ SMD TOP	3	HALB	S.Real	171.48	PSAD_DAIMLER SMART_F.FE	NO	
544324	03/11/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770093	1	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	6	HALB	S.Real	265.24	PS_HONDA HRS6_J.JUAN CH	NO	
544343	03/11/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770093	4	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	6	HALB	S.Real	1060.96	PS_HONDA HRS6_J.JUAN CH	NO	
544346	03/11/2014	ZSCR	551	030-1	NA	'054	5WK44285	NA	A2C53367544	1	3011	054	 	1301	ACU VW10 MY10 M35 08 04 0 0 0 000	12	HALB	S.Real	208.93	PS_VW10 LC_U.ULISES VIL	NO	4983915616
544359	03/11/2014	ZSCR	551	030-1	NA	'054	A2C82542000	NA	A2C8254200093	1	3011	054	 	1301	pcb assy OPLA4400 4401XESE lado top	1	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	
544365	03/11/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	7	HALB	S.Real	158.84	PS_HYUNDAI_.	NO	
544367	03/11/2014	ZSCR	551	030-1	NA	'054	A2C38171903	NA	A2C85221001	1	3011	054	 	1301	pcb assy DAGSM D_2	3	HALB	S.Real	246.56	PSAD_DAIMLER SMART_F.FE	NO	
