No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	 Valor 	No.Docto.SAP
124285	ZSCR	551	034-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1341	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287971
124287	ZSCR	551	040-5	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287987
124290	ZSCR	551	040-2	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1402	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287979
124366	ZSCR	551	040-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1401	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287945
124425	ZSCR	551	040-5	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287987
124522	ZSCR	551	040-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1401	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287945
124597	ZSCR	551	040-5	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287987
124636	ZSCR	551	040-1	NA	5WY8747	1	5WY8747	1	3011	054		1401	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $483.82 	
124637	ZSCR	551	034-2	NA	5WY8747	1	5WY8747	1	3011	054		1342	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $483.82 	
124638	ZSCR	551	034-2	NA	5WY8747	1	5WY8747	1	3011	054		1342	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $483.82 	
123072	ZSCR	551	034-2	NA	5WK43950	NA	A2C53239915	19	3011	054		1342	housing	NA	ROH	NA	 $482.60 	
124100	ZSCR	551	034-2	NA	5WY86560	NA	A2C53368773	2	3011	054		1342	airbag control elect	NA	HALB	S.Real	 $477.38 	4956288353
122944	ZSCR	551	040-3	NA	5WK43966	NA	A2C37975500	1	3011	054		1403	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	 $469.75 	4956288043
123681	ZSCR	551	030-1	NA	A2C37820600	NA	A2C37975500	1	3011	054		1301	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	 $469.75 	4956288455
122347	ZSCR	551	040-1	NA	5WK43967	NA	A2C53243155MI	1	3011	054		1401	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	 $460.28 	4956288158
122942	ZSCR	551	040-1	NA	5WK43967	NA	A2C53243155MI	1	3011	054		1401	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	 $460.28 	4956288158
124583	ZSCR	551	040-1	NA	5WK43967	NA	A2C53243155MI	1	3011	054		1401	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	 $460.28 	4956288158
121869	ZSCR	551	040-2	NA	5WY90210	NA	A2C34527100	1	3011	054		1402	pcb mechanical assy Aramis 2012 v27	NA	HALB	S.Real	 $451.13 	4956288127
122842	ZSCR	551	040-1	NA	5WY87010	NA	A2C53405104MI	1	3011	054		1401	circuit board assy	NA	HALB	S.Real	 $449.66 	4956287892
122848	ZSCR	551	040-1	NA	5WY87010	NA	A2C53405104MI	1	3011	054		1401	circuit board assy	NA	HALB	S.Real	 $449.66 	4956287892
124215	ZSCR	551	040-3	NA	5WY86980	NA	A2C53405101MI	1	3011	054		1403	circuit board assy	NA	HALB	S.Real	 $449.66 	4956288017
122949	ZSCR	551	040-5	NA	A2C37820600	NA	A2C3797550093	1	3011	054		1405	pcb assy DAGARM2 RO V09 TOP	NA	HALB	S.Real	 $446.32 	4956288010
122957	ZSCR	551	040-5	NA	A2C37820600	NA	A2C3797550093	1	3011	054		1405	pcb assy DAGARM2 RO V09 TOP	NA	HALB	S.Real	 $446.32 	4956288010
122671	ZSCR	551	034-4	NA	A2C33275900	NA	A2C34599500	1	3011	054		1344	pcb assy V03	NA	HALB	S.Real	 $445.95 	4956288280
122070	ZSCR	551	030-1	NA	5WK44014	NA	A2C53279666	1	3011	054		1301	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288411
122071	ZSCR	551	030-1	NA	5WK44014	NA	A2C53279666	1	3011	054		1301	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288411
122673	ZSCR	551	034-2	NA	5WK44014	NA	A2C53279666	1	3011	054		1342	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288375
122675	ZSCR	551	030-1	NA	5WK44014	NA	A2C53279666	1	3011	054		1301	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288411
122996	ZSCR	551	040-1	NA	5WK44014	NA	A2C53279666	1	3011	054		1401	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288147
123020	ZSCR	551	040-3	NA	5WK44014	NA	A2C53279666	1	3011	054		1403	airbag control elect MY10	NA	HALB	S.Real	 $443.00 	4956288031
124562	MB1A	551	040-3	B30301-00295	NA	NA	5WK44461	1	3011	054		1095	AIRBAG HONDA ACURA RDX MY12 V30	NA	FERT	NA	 $441.22 	
124099	ZSCR	551	034-2	NA	5WY72880	NA	A2C00013954	1460	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	 $438.00 	
119628	ZSCR	551	030-1	NA	A2C53189516MI	NA	A2C53189516A	1	3011	054		1301	SMD assy W/S 212&A207 WOPPS/WRO side A	NA	HALB	S.Real	 $430.65 	
119629	ZSCR	551	030-1	NA	A2C53189516MI	NA	A2C53189516A	1	3011	054		1301	SMD assy W/S 212&A207 WOPPS/WRO side A	NA	HALB	S.Real	 $430.65 	
119630	ZSCR	551	030-1	NA	A2C53189516MI	NA	A2C53189516A	1	3011	054		1301	SMD assy W/S 212&A207 WOPPS/WRO side A	NA	HALB	S.Real	 $430.65 	
119631	ZSCR	551	030-1	NA	A2C53189516MI	NA	A2C53189516A	1	3011	054		1301	SMD assy W/S 212&A207 WOPPS/WRO side A	NA	HALB	S.Real	 $430.65 	
119632	ZSCR	551	030-1	NA	A2C53189516MI	NA	A2C53189516A	1	3011	054		1301	SMD assy W/S 212&A207 WOPPS/WRO side A	NA	HALB	S.Real	 $430.65 	
122198	MB1A	551	034-4	B30301-00295	NA	NA	A2C53437923	2	3011	054		1095	pcb assy	NA	HALB	S.Real	 $412.72 	
122840	ZSCR	551	034-2	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1342	circuit board assy	NA	HALB	S.Real	 $405.93 	4956288372
121659	ZSCR	551	040-2	NA	A2C53396261	NA	A2C53396263	1	3011	054		1402	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288111
122009	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	1	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288403
122010	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	1	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288403
122011	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	1	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288403
122015	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	1	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288403
122022	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	1	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $396.96 	4956288403
122062	ZSCR	551	040-1	NA	A2C53279666	NA	A2C53214405A	1	3011	054		1401	SMD NEW CRV HE TOP	NA	HALB	S.Real	 $381.82 	4956288168
122063	ZSCR	551	040-1	NA	A2C53279666	NA	A2C53214405A	1	3011	054		1401	SMD NEW CRV HE TOP	NA	HALB	S.Real	 $381.82 	4956288168
122065	ZSCR	551	040-1	NA	A2C53279666	NA	A2C53214405A	1	3011	054		1401	SMD NEW CRV HE TOP	NA	HALB	S.Real	 $381.82 	4956288168
123073	ZSCR	551	034-2	NA	5WK44508	NA	A2C00027389	129	3011	054		1342	cover	NA	ROH	NA	 $370.23 	
124257	ZSCR	551	040-5	NA	A2C53243155MI	NA	A2C53243155A	1	3011	054		1405	SMD assy C207 WITH PPS/WITHOUT RO side A	NA	HALB	S.Real	 $362.91 	4956287774
124258	ZSCR	551	040-5	NA	A2C53243155MI	NA	A2C53243155A	1	3011	054		1405	SMD assy C207 WITH PPS/WITHOUT RO side A	NA	HALB	S.Real	 $362.91 	4956287774
112568	MB1A	551	010-4	B30301-02510	NA	NA	A2C53110921	1	3011	054		1104	keypad seat	QN410054684	ROH	NA	 $362.79 	
123073	ZSCR	551	034-2	NA	5WK44288	NA	A2C00027390	101	3011	054		1342	cover	NA	ROH	NA	 $356.53 	
124563	ZSCR	551	034-1	NA	5WK44276	NA	5WK44276	1	3011	054		1341	AIRBAG HONDA ACCORD 11 V5	NA	FERT	NA	 $352.82 	
124611	ZSCR	551	030-1	NA	5WY73060	NA	5WY73060	1	3011	054		1301	Epsilon SDM GMX381A 10 Loops MY06	NA	FERT	NA	 $345.29 	
124612	ZSCR	551	040-3	NA	5WY73060	NA	5WY73060	1	3011	054		1403	Epsilon SDM GMX381A 10 Loops MY06	NA	FERT	NA	 $345.29 	
122443	ZSCR	551	022-2	NA	5WY72950	NA	6590119014	1	3011	054		1222	Subensamble IM MY06 10L	NA	HALB	S.Real	 $319.40 	
108306	MB1A	551	013-1	B30301-00213	NA	NA	A2C53113382	39	3011	054		1131	holder PCB BK	QN80035	ROH	NA	 $316.29 	
122443	ZSCR	551	022-2	NA	5WY73000	NA	6590119030	1	3011	054		1222	Subensamble IM MY06 10L LEFT SP	NA	HALB	S.Real	 $310.58 	
124099	ZSCR	551	034-2	NA	5WY70770	NA	A2C00022224	20	3011	054		1342	housing	NA	ROH	NA	 $304.20 	
122429	ZSCR	551	040-1	NA	5WY72940	NA	6590119027	1	3011	054		1401	Func tests Epsilon GMX380ES 8 Loops - SP	NA	HALB	S.Real	 $303.53 	4956288178
124558	MB1A	551	034-3	B30301-00295	NA	NA	5WK44514	1	3011	054		1095	AIRBAG HONDA Accura CRV MY12.5 V4	NA	FERT	NA	 $299.52 	
124560	MB1A	551	034-3	B30301-00295	NA	NA	5WK44423	1	3011	054		1095	AIRBAG HONDA CIVIC 5dr MY12 V2	NA	FERT	NA	 $296.34 	
122443	ZSCR	551	022-2	NA	5WY89340	NA	5WY89340	1	3011	054		1222	EPSILON MY2011 GMX386 12L	NA	FERT	NA	 $286.38 	
124543	ZSCR	551	034-2	NA	5WY89340	NA	5WY89340	1	3011	054		1342	EPSILON MY2011 GMX386 12L	NA	FERT	NA	 $286.38 	
124544	ZSCR	551	034-1	NA	5WY89340	NA	5WY89340	1	3011	054		1341	EPSILON MY2011 GMX386 12L	NA	FERT	NA	 $286.38 	
124557	ZSCR	551	034-3	NA	5WY88230	NA	5WY88230	1	3011	054		1343	EPSILON MY2011 GMX386 12L	NA	FERT	NA	 $285.61 	
124542	ZSCR	551	034-2	NA	5WY87270	NA	5WY87270	1	3011	054		1342	EPSILON MY2011 SGM985 10L	NA	FERT	NA	 $279.56 	
124610	ZSCR	551	030-1	NA	5WY87270	NA	5WY87270	1	3011	054		1301	EPSILON MY2011 SGM985 10L	NA	FERT	NA	 $279.56 	
122650	ZSCR	551	034-9	NA	5WK43772	NA	A2C53142641	1	3011	054		1349	airbag control elect MY07	NA	HALB	S.Real	 $266.54 	4956288191
124294	ZSCR	551	030-1	NA	A2C53189515B	NA	A2C00037676	54	3011	054		1301	"1,P_CHAN,MOS,POWER,60V,50A,15mOhm,TO252/"	NA	ROH	NA	 $262.98 	4956288506
122664	ZSCR	551	040-1	NA	5WK43767	NA	A2C53142626	1	3011	054		1401	airbag control elect MY07	NA	HALB	S.Real	 $258.44 	4956287999
105441	MB1A	551	034-2	B30301-00295	NA	NA	A2C32519400	43	3011	054		1095	cover	NA	ROH	NA	 $257.14 	
122443	ZSCR	551	022-2	NA	5WY82750	NA	A2C53303088	1	3011	054		1222	airbag control elect	NA	HALB	S.Real	 $253.73 	
123076	ZSCR	551	034-2	NA	5WY86930	NA	A2C53125065	11	3011	054		1342	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	 $248.93 	
123076	ZSCR	551	034-2	NA	5WK43807	NA	A2C53125068	11	3011	054		1342	multipoint connector 96P H 2SYS B-A	NA	ROH	NA	 $248.93 	
119318	MB1A	551	030-1	B30301-00295	NA	NA	A2C53358455A	1	3011	054		1095	circuit board assy	NA	HALB	S.Real	 $247.11 	
124391	ZSCR	551	030-1	NA	A2C53358455	NA	A2C53358455A	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	 $247.11 	4956287855
