No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00041199	12	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.12	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00007695	82	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	12.3	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00004364	146	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	1.46	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00563300	34	1351	"MMSZ4681/-,2.4V,500mW,SOD-123"		ROH	NA	5.1	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00037882	38	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.38	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00059117	9	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"		ROH	NA	0.45	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00041199	27	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.27	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00019595	33	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.33	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00000380	4	1351	"600V,3A,1,STANDARD,SMC DO214AB,RECT DIOD"		ROH	NA	2	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00037882	8	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.08	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00003708	3	1351	"R LIN,3K3,5%,TK200,100mW,0603"		ROH	NA	0.03	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00019592	1	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00000407	1	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	0.22	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00022031	27	1351	"4,EQ ISO,konvex 1206,7K5,1%,63mW,NET RES"		ROH	NA	1.35	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00060691	59	1351	"T BIP/BCR35PN or PUMD9,SOT363"		ROH	NA	8.85	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00004349	12	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.12	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00010918	1	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00020588	1	1351	"R LIN,82R5,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00032168	47	1351	"R LIN,1K3,1%,TK100,63mW,0402"		ROH	NA	0.47	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00019592	24	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.24	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00292100	2	1351	"SEN/SYCAMORE,ACC, XY, 100g,OHT"		ROH	NA	25.6	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00019595	82	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.82	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00057767	3	1351	"IC MCU BLK/SPC560P50L3 (Pictus512K),A1,L"		ROH	NA	51.99	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00004364	16	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.16	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00062333	1	1351	"L COIL/,150uH,1.5A,SMD // NFND PLS USE A"		ROH	NA	2.66	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00000407	7	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	1.54	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00059117	23	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"		ROH	NA	1.15	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00004349	143	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	1.43	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00004322	1	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00023857	31	1351	"F BEAD/BLM41P,90mOhm,1KOhm,1.5A,SMD"		ROH	NA	10.23	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00006609	1	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257200093	NA	A2C00019595	11	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.11	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00044219	11	1351	"240R,1%,TK100,63mW,0603,LIN RES/RC"		ROH	NA	0.11	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00008183	2	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	0.44	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00041199	58	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.58	PS_SDM30_L.LPL AUTOMATI	NO	
