No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
623941	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623945	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53239778	NA	A2C53186313A	1	3011	054	 	1301	SMD ACCORD 08 TOP	NA	HALB	S.Real	286.18	OES_HONDA ACCORD_.	NO	
623948	26/05/2015	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	4990394007
623950	26/05/2015	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	4990394007
623951	26/05/2015	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	4990394007
623952	26/05/2015	ZSCR	551	030-1	NA	'054	A2C9666050093	NA	A2C9666050093	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	4990394007
623954	26/05/2015	ZSCR	551	030-1	NA	'054	A2C96636001	NA	A2C9666060093	1	3011	054	 	1301	pcb assy PTFSPEED15 V01_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	
624035	26/05/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32508800	20	3011	054	 	1301	pcb	NA	ROH	NA	242.2	PSAD_VW20_.	NO	4990394797
624037	26/05/2015	ZSCR	551	050-1	NA	'054	A2C94819900	NA	A2C5340491402	1	3011	054	 	1501	pcb assy HONHRS5 V30 REV 02	NA	HALB	S.Real	344.97	PS_HONDA HRS5_.	NO	
624040	26/05/2015	ZSCR	551	040-1	NA	'054	A2C94819900	NA	A2C5340491402	1	3011	054	 	1401	pcb assy HONHRS5 V30 REV 02	NA	HALB	S.Real	344.97	PS_HONDA HRS5_.	NO	
624042	26/05/2015	ZSCR	551	040-1	NA	'054	A2C5339962003	NA	A2C5339962003	1	3011	054	 	1401	pcb assy V4c	NA	HALB	S.Real	212.13	PS_HONDA HRS5_.	NO	
624079	26/05/2015	ZSCR	551	040-3	NA	'054	A2C9140860093	NA	A2C9140860093	3	3011	054	 	1403	pcb assy HONHRS6 D_16 SMD TOP	NA	HALB	S.Real	750.15	PS_HONDA HRS6_J.JUAN CH	NO	
