Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc.HeaderTex	No.Docto.SAP
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00057053	7	1351	"TRANSCEIVER,High Speed CAN/Lin,HTSSOP32,"		ROH	NA	99.75	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354A	NA	A2C53331174	7	1351	antenna		ROH	NA	11.55	S5TGECU	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C53341943	7	1351	receiver bleifrei		ROH	NA	188.09	S5TGECU	4957734869
ZSCR	551	035-1	0	A2C53310663	NA	A2C00008344	10	1351	"1uF,10%,25V,X7R,1206,TINNED,CER CAP/++ u"		ROH	NA	1.5	S5FOBSLOT08	4957734812
ZSCR	551	035-1	0	A2C53310663	NA	A2C53042013	99	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/EEVFK1V470P"		ROH	NA	83.16	S5FOBSLOT08	4957734812
ZSCR	551	035-1	0	A2C53300685	NA	A2C00004580	4	1351	"309K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	S5FOBSLOT08	4957734801
ZSCR	551	035-1	0	A2C53426161B	NA	A2C00156400	19	1351	"L COIL/CAS143,2.36mH,5mA,3-D SMD Transpo"		ROH	NA	308.75	S5FOBSLOT08	4957734890
ZSCR	551	035-1	0	A2C53300685	NA	A2C53042942	4	1351	"WHITE,0nm,SIDELED,101 ... 120grd,LED/LW"		ROH	NA	4.68	S5FOBSLOT08	4957734801
ZSCR	551	035-1	0	A2C53335967B	NA	A2C00034525	10	1351	"2.36mH,30mA,SMD,COIL/CAS11D28 ++PLS USE"		ROH	NA	23.5	S5FOBSLOT09	4957734843
ZSCR	551	035-1	0	A2C53300685	NA	A2C00043666	4	1351	"33uF,10%,35V,SMD,TA, Case E, ELEC CAP/"		ROH	NA	32.08	S5FOBSLOT09	4957734801
ZSCR	551	035-1	0	A2C53300685	NA	A2C00046196	4	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	3.36	S5FOBSLOT09	4957734801
ZSCR	551	035-1	0	A2C53428272T	NA	A2C40002181	204	1351	"R LIN,39K,5%,TK200,100mW,0603"		ROH	NA	2.04	S1TIPMLOGIC	4957734752
ZSCR	551	035-1	0	A2C53428272T	NA	A2C40002209	414	1351	"R LIN,4K7,5%,TK200,100mW,0603"		ROH	NA	4.14	S1TIPMLOGIC	4957734752
ZSCR	551	035-1	0	A2C53428272T	NA	A2C40007118	205	1351	"C CER,X7R,1nF,10%,50V,0603,-"		ROH	NA	4.1	S1TIPMLOGIC	4957734752
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00000561	25	1351	"1,PNP,NORMAL,500mA,45V,SOT23,BIP/BC807-4"		ROH	NA	2	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00002102	33	1351	"220pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.66	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00003825	68	1351	"10R,5%,TK250,63mW,0603,LIN RES/RC"		ROH	NA	0.68	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00003837	33	1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.33	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00004446	24	1351	"15K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.24	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00018230	48	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	8.16	S1DCU	4957734835
