No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	p
295868	30/04/2013	ZSCR	551	040-3	NA	'015	5WK49210	NA	A2C53190307	1	1403	circuit board assy	NA	HALB	S.Real	80.97	S5_RXM_JORGE AGUILAR (A	NO	4966994216
295872	30/04/2013	ZSCR	551	034-2	NA	'015	5WK49309	NA	A2C5321554092	2	1342	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	64.28	S5_TXK_JORGE AGUILAR (A	NO	4966994035
295873	30/04/2013	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53328411	8	1342	circuit board assy	NA	HALB	S.Real	673.12	S1_DCU_ADRIAN CEBALLOS	NO	4966994067
295874	30/04/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	1	1301	circuit board assy	NA	HALB	S.Real	87.93	S1_DCU_ADRIAN CEBALLOS	NO	4966993986
295875	30/04/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	1	1301	circuit board assy	NA	HALB	S.Real	87.93	S1_DCU_ADRIAN CEBALLOS	NO	4966993986
295876	30/04/2013	ZSCR	551	030-1	NA	'015	5WY7632	NA	6598177632	35	1301	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	850.85	S1_CORPORATE_ADRIAN CEB	NO	4966993886
295877	30/04/2013	ZSCR	551	030-1	NA	'015	5WY7632OR	NA	6598177632	8	1301	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	194.48	S1_CORPORATE_ADRIAN CEB	NO	4966993886
295878	30/04/2013	ZSCR	551	040-5	NA	'015	5WY7632	NA	6598177632	7	1405	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	170.17	S1_CORPORATE_ADRIAN CEB	NO	4966994260
295879	30/04/2013	ZSCR	551	040-1	NA	'015	5WY7633	NA	6598177652	4	1401	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	99.04	S1_CORPORATE_ADRIAN CEB	NO	4966994143
295880	30/04/2013	ZSCR	551	030-1	NA	'015	5WY7633	NA	6598177652	24	1301	SMD ASSY SKREEK KJ EU	NA	HALB	S.Real	594.24	S1_CORPORATE_ADRIAN CEB	NO	4966993899
295889	30/04/2013	ZSCR	551	040-5	NA	'015	A2C31331900	NA	A2C53402397	119	1405	Subassy SMD Hyundai TG ECU Var.1 315Mhz	NA	HALB	S.Real	6136.83	S5_HYUNDAI TPMS ECU_JOR	NO	4966994295
295895	30/04/2013	ZSCR	551	034-8	NA	'015	5WK47832	NA	A2C53249259	8	1348	circuit board assy HONDA ZZDI	NA	HALB	S.Real	1566.16	S5_SMART ECU_ENRIQUE GA	NO	4966994109
295896	30/04/2013	ZSCR	551	034-2	NA	'015	5WK47832	NA	A2C53249259	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	195.77	S5_SMART ECU_ENRIQUE GA	NO	4966994042
295898	30/04/2013	ZSCR	551	030-1	NA	'015	A2C53427342	NA	A2C5333838493	1	1301	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	181.83	S5_ACURA ECU_ENRIQUE GA	NO	4966993997
295899	30/04/2013	ZSCR	551	034-8	NA	'015	A2C53427342	NA	A2C5333838493	9	1348	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	1636.47	S5_ACURA ECU_ENRIQUE GA	NO	4966994129
295933	30/04/2013	ZSCR	551	040-3	NA	'045	5WK50439	NA	A2C31082700	1	1403	pcb assy BCU 315 v26	NA	HALB	S.Real	348.77	S4_PQ25_MIGUEL ZAVALA-M	NO	4966993245
295943	30/04/2013	ZSCR	551	040-2	NA	'045	5WK50331	NA	A2C53398079	1	1402	"pcb assy VW POLO, VECU v020"	NA	HALB	S.Real	287.84	S4_PQ25_MIGUEL ZAVALA-M	NO	4966993370
