No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
646737	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010092	1				1301	pcb assy HONHRS6 D_23 SMD BOT	NA	HALB	S.Real/AutoBF	50.72	PS_HONDA HRS6_J.JUAN CH	NO	4992173609			
646738	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4992174836			
646739	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4992174836			
646740	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4992174836			
646741	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4992174836			
646742	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4992174836			
646746	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	NA	A2C53374377	6	3011	054	 	1301	pcb VW ZZDIV AC	NA	ROH	NA	102.6	PS_VW10 LC_. (APROBACI	NO	4992174809			
646747	29/07/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C35116101	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	STOCK			
646748	29/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C96766700	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real	350.57	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646749	29/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C96766600	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real/AutoBF	249.06	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646750	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00023541	2	3011	054	 	1301	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	4.52	PS_VW10 LC_. (APROBACI	NO	4992174752			
646750	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_. (APROBACI	NO	4992174752			
646751	29/07/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00023541	2	3011	054	 	1301	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	4.52	PS_VW10 LC_. (APROBACI	NO	4992174752			
