No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
120242	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120243	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4956143885
120244	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120245	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	7	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	363.93	4956143853
120247	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4956143885
120249	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4956143885
120251	ZSCR	551	040-3	NA	5WK49608C	NA	A2C00004906	2	1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	4956143194
120251	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	1	1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143303
120251	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53319341	2	1403	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.08	4956143228
120251	ZSCR	551	040-3	NA	5WK49608C	NA	A2C53323911	2	1403	housing	NA	ROH	NA	2.12	4956143194
120251	ZSCR	551	040-3	NA	5WK49608C	NA	A2C53323916	2	1403	slide	NA	ROH	NA	1.6	4956143194
120251	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53358639	2	1403	contact spring	NA	ROH	NA	1.12	4956143228
120251	ZSCR	551	040-3	NA	S180143002	NA	A2C53365040	2	1403	housing bottom	NA	ROH	NA	1.92	4956143284
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C00004906	2	1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	4956143228
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	2	1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4956143303
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53319341	2	1403	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.08	4956143228
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53323911	2	1403	housing	NA	ROH	NA	2.12	4956143228
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53323916	2	1403	slide	NA	ROH	NA	1.6	4956143228
120253	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53358639	2	1403	contact spring	NA	ROH	NA	1.12	4956143228
120253	ZSCR	551	040-3	NA	S180143002	NA	A2C53365040	2	1403	housing bottom	NA	ROH	NA	1.92	4956143284
120255	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	6	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	305.88	4956143913
120260	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120261	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120262	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
120263	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	2	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4956143913
120278	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	4	1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	102.64	4956143925
120282	ZSCR	551	034-2	NA	5WY7700	NA	A2C53114671	3	1342	housing	NA	ROH	NA	8.4	4956143626
120282	ZSCR	551	034-2	NA	5WY7700	NA	A2C53124003	3	1342	sticker	NA	ROH	NA	0.51	4956143626
120300	ZSCR	551	040-3	NA	5WK49608C	NA	A2C53297306B	18	1403	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	935.82	4956143319
120306	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306T	30	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real/AutoBF	878.1	4956144148
120308	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120311	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	4	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	207.96	4956143853
