No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
671280	09/10/2015	ZSCR	551	030-1	NA	'054	A2C91374200	A2C91374200	#N/A	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	22	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4995019179
671281	09/10/2015	ZSCR	551	030-1	NA	'054	A2C91374200	A2C91374200	#N/A	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	22	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4995019179
671286	09/10/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	5WK44285	#N/A	A2C53374377	1	3011	054	 	1301	pcb VW ZZDIV AC	18	ROH	NA	17.1	PS_VW10 LC_.	NO	4995020188
671287	09/10/2015	ZSCR	551	030-1	NA	'054	A2C96810100	A2C96810100	#N/A	A2C9840970093	1	3011	054	 	1301	pcb assy GMSMD30	80	HALB	S.Real	260.88	PS_SDM30_.	NO	4995019846
671288	09/10/2015	ZSCR	551	030-1	NA	'054	A2C96810100	A2C96810100	#N/A	A2C9840970093	1	3011	054	 	1301	pcb assy GMSMD30	80	HALB	S.Real	260.88	PS_SDM30_.	NO	4995019846
671289	09/10/2015	ZSCR	551	030-1	NA	'054	A2C96810100	A2C96810100	#N/A	A2C9840970093	1	3011	054	 	1301	pcb assy GMSMD30	80	HALB	S.Real	260.88	PS_SDM30_.	NO	4995019846
671290	09/10/2015	ZSCR	551	030-1	NA	'054	A2C96810100	A2C96810100	#N/A	A2C9840970093	1	3011	054	 	1301	pcb assy GMSMD30	80	HALB	S.Real	260.88	PS_SDM30_.	NO	4995019846
671294	09/10/2015	ZSCR	551	030-1	NA	'054	A2C53429875	A2C86852400	#N/A	A2C53429875A	3	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	99	HALB	S.Real	509.43	PS_HYUNDAI_.	NO	4995019070
671295	09/10/2015	ZSCR	551	030-1	NA	'054	A2C86852400	A2C86852400	#N/A	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	99	HALB	S.Real	217.97	PS_HYUNDAI_.	NO	4995019070
671298	09/10/2015	ZSCR	551	030-1	NA	'054	A2C91764000	A2C91764000	#N/A	A2C9257220093	1	3011	054	 	1301	pcb assy GMSDM30 Top	13	HALB	S.Real	154.34	PS_SDM30_.	NO	
671299	09/10/2015	ZSCR	551	030-1	NA	'054	A2C83971500	A2C83971300	#N/A	A2C8397150093	1	3011	054	 	1301	pcb topSMD Top	1	HALB	S.Real	384.8	PS_SDM10_.	NO	
671300	09/10/2015	ZSCR	551	030-1	NA	'054	A2C85841502	A2C85841502	#N/A	A2C814558000193	1	3011	054	 	1301	pcb assy RENT4 V01 (SW 02) TOP	36	HALB	S.Real	120.62	PS_RENAULT_.	NO	4995018779
671303	09/10/2015	ZSCR	551	030-1	NA	'054	A2C53364457	5WK44252	01	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	30	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4995015995
671304	09/10/2015	ZSCR	551	030-1	NA	'054	A2C53364457	5WK44252	01	A2C53364457A	1	3011	054	 	1301	subensamble de SMD BoSe VW Top	30	HALB	S.Real	77.27	OC_BOSE VW_A.ANA TAPIA-	NO	4995015995
671305	09/10/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	#N/A	A2C8021770093	1	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	#N/A	HALB	S.Real	272.45	PS_HONDA HRS6_J.JUAN CH	NO	
671309	09/10/2015	ZSCR	551	030-1	NA	'054	5WK44740	5WK44740	#N/A	A2C53338029	6	3011	054	 	1301	pcb panel multiple 6-up main	1	ROH	NA	126.84	PS_ARAMIS III_.	NO	
671310	09/10/2015	ZSCR	551	030-1	NA	'054	A2C38172106	A2C38172106	#N/A	A2C8522140193	12	3011	054	 	1301	pcb assy DAGSM D_4 SMD TOP	2	HALB	S.Real	2129.4	PSAD_DAIMLER SMART_F.FE	NO	
671312	09/10/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	5WK44285	#N/A	A2C53374377	6	3011	054	 	1301	pcb VW ZZDIV AC	18	ROH	NA	102.6	PS_VW10 LC_.	NO	4995020188
671313	09/10/2015	ZSCR	551	030-1	NA	'054	5WY88580	5WY88580	#N/A	A2C53380966	12	3011	054	 	1301	pcb panel multiple 4-up	2	ROH	NA	250.56	PSAD_EPSILON_O.OSCAR FO	NO	
671314	09/10/2015	ZSCR	551	030-1	NA	'054	A2C8437050092	A2C84370400	#N/A	A2C83008800	3	3011	054	 	1301	pcb 6-lay main TD10	1	ROH	NA	112.2	PSAD_ASTON MARTIN_.	NO	
671317	09/10/2015	ZSCR	551	030-1	NA	'054	A2C30910808	A2C30910808	#N/A	A2C3250900093	64	3011	054	 	1301	circuit board assy TOP side VW20	9	HALB	S.Real	7767.04	PSAD_VW20_.	NO	
671362	09/10/2015	ZSCR	551	030-1	NA	'054	A2C3320950092	A2C38070400	01	A2C53387067	48	3011	054	 	1301	pcb FIAT ACU MA	31	ROH	NA	583.2	PS_FIAT BRAZIL_.	NO	4995016271
671367	09/10/2015	ZSCR	551	040-3	NA	'054	A2C92704001	A2C92704001	#N/A	A2C9663160093	2	3011	054	 	1403	pcb assy DAGSTAR2 ISC with SW SMD TOP	179	HALB	S.Real	677.2	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671370	09/10/2015	ZSCR	551	040-3	NA	'054	A2C92704001	A2C92704001	#N/A	A2C96631600	1	3011	054	 	1403	pcb assy DAGSTAR2 ISC with SW	179	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671375	09/10/2015	ZSCR	551	040-5	NA	'054	A2C32453903	A2C32453903	#N/A	A2C53330109	3	3011	054	 	1405	socket	11	ROH	NA	52.47	PSAD_DAIMLER STAR 2_A.A	NO	4995020838
671375	09/10/2015	ZSCR	551	040-5	NA	'054	A2C32453903	A2C32453903	#N/A	A2C91601100	9	3011	054	 	1405	multipoint connector124/ 81P H 2SYS 1018	11	ROH	NA	500.94	PSAD_DAIMLER STAR 2_A.A	NO	4995020838
671376	09/10/2015	ZSCR	551	040-3	NA	'054	5WK44675	5WK44675	03	A2C53332366	9	3011	054	 	1403	cover RAP T BK	5	ROH	NA	70.11	PS_FIAT BRAZIL_.	NO	
671378	09/10/2015	ZSCR	551	040-3	NA	'054	A2C32453905	A2C32453905	#N/A	A2C53424040	4	3011	054	 	1403	"pan head screw M3,5 x 12,00 1268"	1	ROH	NA	1.16	PSAD_DAIMLER STAR 2_A.A	NO	
671378	09/10/2015	ZSCR	551	040-3	NA	'054	A2C37964105	A2C37964105	#N/A	A2C83435000	3	3011	054	 	1403	cover FIP T BK	1	ROH	NA	53.43	PSAD_DAIMLER STAR 2_A.A	NO	
671380	09/10/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	#N/A	A2C53108387	15	3011	054	 	1403	"pan head screw SF-M3,5x 10,00 1241"	5	ROH	NA	3	PS_ARAMIS III_. (APROB	NO	
671380	09/10/2015	ZSCR	551	040-3	NA	'054	5WK43952	5WK43952	#N/A	A2C53245952	3	3011	054	 	1403	"housing FIP 152,0x 135,7"	5	ROH	NA	72.75	PS_ARAMIS III_. (APROB	NO	
