No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
184284	27/07/2012	ZSCR	551	030-1	NA	'054	5WY89340	NA	A2C53391886	8	1301	circuit board assy	NA	HALB	S.Real	1623.68	PSAD_EPSILON_GERARDO EC	NO	4959974894
184286	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53298665MI	NA	A2C53298665A	1	1301	SMD assy A207 WITH PPS / RO side A	NA	HALB	S.Real	560.68	PS_ARAMIS II MCG_GERARD	NO	4959974935
184291	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	SMD assy W/S 212 WITH PPS/RO side B	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959974159
184635	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	SMD assy W/S 212 WITH PPS/RO side B	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959974159
184636	28/07/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	SMD assy W/S 212 WITH PPS/RO side B	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959974159
184293	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385B	1	1301	SMD assy for CCG side B	NA	HALB	S.Real/AutoBF	72.04	PS_ARAMIS I_GERARDO ECH	NO	4959974150
184294	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184295	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184296	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184297	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184300	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53375496A	NA	A2C53375496B	1	1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real/AutoBF	82.59	PS_ARAMIS III_GERARDO E	NO	4959974182
184305	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44592	NA	A2C5343547792	1	1301	pcb assy HONHRS5 V36 bottom side	NA	HALB	S.Real/AutoBF	60.21	PS_HONDA HRS5_GERARDO E	NO	4959974252
184318	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44286	NA	A2C00021326	12	1342	"560uF,30%,35V,HOL,AL,ELEC CAP/P=15, AIRB"	NA	ROH	NA	21.96	PS_VW10 LC_GERARDO ECHE	NO	4959975259
184319	27/07/2012	ZSCR	551	034-2	NA	'054	5WK43610	NA	A2C00023541	13	1342	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	37.05	PS_VW10 LC_GERARDO ECHE	NO	4959975230
184320	27/07/2012	ZSCR	551	040-1	NA	'054	5WK44276	NA	A2C53362292	1	1401	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	NO	4959974817
184335	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184336	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184337	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184339	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	NO	4959974916
184340	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	OC_BOSE VW_GERARDO ECHE	NO	4959974916
184341	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	OC_BOSE VW_GERARDO ECHE	NO	4959974916
184343	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	OC_BOSE VW_GERARDO ECHE	NO	4959974916
184345	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53125027B	NA	A2C53125028	210	1301	pcb DC 70 LP PRO NU	NA	ROH	NA	291.9	PS_ARAMIS I_GERARDO ECH	NO	4959975307
184352	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184353	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184355	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184356	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184357	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184358	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184360	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184362	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184363	27/07/2012	ZSCR	551	030-1	NA	'054	5WK43611	NA	A2C53125027B	1	1301	SMD assy for RO module side B	NA	HALB	S.Real	141.13	PS_ARAMIS I_GERARDO ECH	NO	4959974792
184364	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53345669A	NA	A2C53345669B	6	1301	SMD Assy R172 ECE with PyroPPSg with RO	NA	HALB	S.Real/AutoBF	524.28	PS_ARAMIS III_GERARDO E	NO	4959974237
184366	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	1301	pcb assy	NA	HALB	S.Real	76.22	OC_BOSE BMW_GERARDO ECH	NO	4959974852
184367	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	1301	pcb assy	NA	HALB	S.Real	76.22	OC_BOSE BMW_GERARDO ECH	NO	4959974852
184369	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	1301	pcb assy	NA	HALB	S.Real	76.22	OC_BOSE BMW_GERARDO ECH	NO	4959974852
184371	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	1	1301	pcb assy	NA	HALB	S.Real	82.64	OC_BOSE BMW_GERARDO ECH	NO	4959974847
