No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00034058	1	3011	050		1351	"SAK C167CS LM,CA+,QFP144_065,ROMLESS,16b"		ROH	NA	52	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6596352020	2	3011	050		1351	1W METAL RESISTOR 5% 820		ROH	NA	0.32	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	9152213	8	3011	050		1351	1/16W THICK FILM RESISTOR 5% 3		ROH	NA	0.08	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6594352032	2	3011	050		1351	"100R,1%,TK100,1W,0207_SMD_CHP,"		ROH	NA	3.1	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6594352031	492	3011	050		1351	"1K4,1%,TK100,1W,0207_SMD_CHP,F"		ROH	NA	762.6	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	9165952	2	3011	050		1351	"4K7,1%,TK100,63MW,0603,FIX RES"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00011306	2	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,20A,23mOhm,TO252/"		ROH	NA	5.26	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6577362012	182	3011	050		1351	"33NF,5%,50V,X7R,0805,NISN,CER"		ROH	NA	10.92	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00004830	27	3011	050		1351	"TRANSCEIVER,CAN,SO8,BUS DRIVER IC/82C250"		ROH	NA	83.7	ES_IDM_NORA ANCHONDO	NO	4964324717
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	A2C00001041	2	3011	050		1351	"2,COMP,0Hz,SO8,OP-COMP/TY30464,LM2903___"		ROH	NA	1.08	ES_IDM_NORA ANCHONDO	NO	4964324717
