No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
544295	03/11/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	8	3011	054	 	1301	pcb	NA	ROH	NA	183.12	PS_SDM30_.	NO	4984023905	
544404	03/11/2014	ZSCR	551	030-1	NA	'054	A2C86816700	NA	A2C8681670093	6	3011	054	 	1301	pcb assy DAGARM3 V18EDR TOP	NA	HALB	S.Real	2729.82	PS_ARAMIS III_E.EDWIN R	NO		
544411	03/11/2014	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C83317201	12	3011	054	 	1301	pcb 6-lay DAGSTR2ISC	NA	ROH	NA	300.12	PSAD_DAIMLER STAR 2_A.A	NO		
544418	03/11/2014	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C83317201	12	3011	054	 	1301	pcb 6-lay DAGSTR2ISC	NA	ROH	NA	300.12	PSAD_DAIMLER STAR 2_A.A	NO		
544424	03/11/2014	ZSCR	551	040-3	NA	'054	A2C85901111	NA	A2C87057001	1	3011	054	 	1403	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	420.33	PSAD_DAIMLER STAR 2_A.A	NO		
544425	03/11/2014	ZSCR	551	040-3	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1403	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO		
544436	03/11/2014	ZSCR	551	040-1	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1401	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	4984023797	
544449	03/11/2014	ZSCR	551	040-3	NA	'054	A2C91764400	2800	A2C91764400	1	3011	054	 	1403	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO		
544453	03/11/2014	ZSCR	551	040-3	NA	'054	A2C91764100	2800	A2C91764100	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO		
544454	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	2	3011	054	 	1342	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	626.2	PS_SDM30_.	NO		
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53395715	1	3011	054	 	1342	housing WIC P BK A-B	NA	ROH	NA	34.8	PS_SDM30_.	NO		
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C40000025	1	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM30_.	NO		
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53338471	2	3011	054	 	1342	contact element	NA	ROH	NA	2.04	PS_SDM30_.	NO		
544466	03/11/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C92598000	1	3011	054	 	1342	cover FIP T BK Laser Weld	NA	ROH	NA	2.48	PS_SDM30_.	NO		
544485	03/11/2014	ZSCR	551	040-3	NA	'054	A2C32453912	3	A2C32453912	1	3011	054	 	1403	ACU DAGSTAR2 MY12 S15 24 08 0 1 0 000	NA	FERT	NA	425.24	PSAD_DAIMLER STAR 2_A.A	NO		
544493	03/11/2014	ZSCR	551	040-1	NA	'054	A2C90500300	NA	A2C90247200	1	3011	054	 	1401	pcb assy HONHRS6 D_14	NA	HALB	S.Real	173.22	PS_HONDA HRS6_J.JUAN CH	NO		
544502	03/11/2014	ZSCR	551	034-2	NA	'054	A2C85901111	NA	A2C87057001	2	3011	054	 	1342	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	840.66	PSAD_DAIMLER STAR 2_A.A	NO		
544608	03/11/2014	ZSCR	551	034-2	NA	'054	A2C73614500	7986	A2C73614500	4	3011	054	 	1342	PPSC*G3T75 FL MAGNA-PSA	NA	FERT	NA	876.72	PSAD_PSA MAGNA_J.JOSE O	NO		
544618	03/11/2014	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	1	3011	054	 	1342	BoSe VW	NA	FERT	NA	104.03	OC_BOSE VW_A.ANA TAPIA-	NO		
544810	04/11/2014	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO		
544909	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C85221401	1	3011	054	 	1222	pcb assy DAGSM D_4	NA	HALB	S.Real	249.21	PSAD_DAIMLER STAR 2_A.A	NO		
544909	04/11/2014	ZSCR	551	022-2	NA	'054	NA	NA	A2C85221201	5	3011	054	 	1222	pcb assy DAGSM D_5	NA	HALB	S.Real	1197.5	PSAD_DAIMLER STAR 2_A.A	NO		
