No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40005523	71	1351	"R NET,10K,5%,63mW,1206"		ROH	NA	2.13	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40005533	72	1351	"R NET,120K,5%,63mW,1206"		ROH	NA	2.16	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40005533	75	1351	"R NET,120K,5%,63mW,1206"		ROH	NA	2.25	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40005533	338	1351	"R NET,120K,5%,63mW,1206"		ROH	NA	10.14	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40005535	47	1351	"R NET,200K,5%,63mW,1206"		ROH	NA	1.41	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40005535	48	1351	"R NET,200K,5%,63mW,1206"		ROH	NA	1.44	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40005535	267	1351	"R NET,200K,5%,63mW,1206"		ROH	NA	8.01	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006972	68	1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	2.72	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006972	71	1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	2.84	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40006972	284	1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	11.36	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40006996	4	1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.16	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40006996	4	1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.16	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40006996	18	1351	"C CER,X7R,4.7nF,10%,50V,0805,-"		ROH	NA	0.72	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40007008	4	1351	"C CER,C0G,2.2pF,0.1pF,50V,0402,-"		ROH	NA	0.08	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007009	4	1351	"C CER,C0G,2.7pF,0.1pF,50V,0402,-"		ROH	NA	0.08	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007009	18	1351	"C CER,C0G,2.7pF,0.1pF,50V,0402,-"		ROH	NA	0.36	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007011	4	1351	"C CER,C0G,6.8pF,0.1pF,50V,0402,-"		ROH	NA	0.12	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40007011	18	1351	"C CER,C0G,6.8pF,0.1pF,50V,0402,-"		ROH	NA	0.54	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40007013	4	1351	"C CER,C0G,12pF,1%,50V,0402,-"		ROH	NA	0.12	S1 SPDJB	4957298846
