No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
595062	04/03/2015	ZSCR	551	034-2	NA	'050	A2C3229540092	NA	A2C40000660	2	1342	NA	ROH	NA	43.3	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225674		
595062	04/03/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	4	1342	NA	ROH	NA	87.2	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
595062	04/03/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	14	1342	NA	ROH	NA	305.2	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
595062	04/03/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89521800	6	1342	NA	ROH	NA	52.92	S1_WK_WD RFHUB_A.ADRIAN	NO			
595062	04/03/2015	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89522000	7	1342	NA	ROH	NA	70.14	S1_WK_WD RFHUB_A.ADRIAN	NO			
595078	04/03/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73750600	4	1424	NA	ROH	NA	19.44	S1_RKE FOB CUSW_A.ADRIA	NO			
595079	04/03/2015	ZSCR	551	042-4	NA	'015	5WY7211	NA	A2C00004906	8	1424	NA	ROH	NA	13.04	S1_PASE FOB CUSW_A.ADRI	NO			
595079	04/03/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73750600	1	1424	NA	ROH	NA	4.86	S1_PASE FOB CUSW_A.ADRI	NO			
595079	04/03/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73750700	7	1424	NA	ROH	NA	39.2	S1_PASE FOB CUSW_A.ADRI	NO			
595079	04/03/2015	ZSCR	551	042-4	NA	'015	A2C74094300S	NA	A2C73750900	5	1424	NA	ROH	NA	32.55	S1_PASE FOB CUSW_A.ADRI	NO			
