No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
562538	09/12/2014	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53402832	1			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.19	S1_TG1C DCX_J.JAIME JIM	NO	4985094090
562541	09/12/2014	ZSCR	551	040-3	NA	'015	5WY8547	NA	A2C53402830	1			1403	parts kit assy TPM	NA	HALB	S.Real/AutoBF	40.06	S1_TG1C DCX_J.JAIME JIM	NO	4985094064
562551	09/12/2014	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	1			1342	pcb assy VDC Top	NA	HALB	S.Real	21.83	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
562552	09/12/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	7			1342	module assy TPM	NA	HALB	S.Real/AutoBF	289.1	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
562648	09/12/2014	ZSCR	551	034-2	NA	'015	A2C3735150093	NA	A2C3735150093	1			1342	circuit board assy TPM TOP	NA	HALB	S.Real	25.99	S1_TG1C NISSAN_J.JAIME	NO	4985093145
562653	09/12/2014	ZSCR	551	040-3	NA	'015	A2C3156350093	NA	A2C3156350093	1			1403	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985093190
562654	09/12/2014	ZSCR	551	034-2	NA	'015	A2C8676750093	NA	A2C8676750093	3			1342	circuit board assy TPM SMD TOP	NA	HALB	S.Real	70.32	S5_TIS1C127 HMC_A.ADRIA	NO	4985093562
562661	09/12/2014	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	10			1342	pcb assy VDC Top	NA	HALB	S.Real	218.3	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
562664	09/12/2014	ZSCR	551	034-2	NA	'015	A2C8673320193	NA	A2C8673320193	3			1342	circuit board assy TPM Top	NA	HALB	S.Real	65.91	S1_TIS 1D MMC_J.JAIME J	NO	4985093491
562723	10/12/2014	ZSCR	551	040-3	NA	'015	A2C9323680093	NA	A2C9323680093	8			1403	circuit board assy TPM Top	NA	HALB	S.Real	171.04	S1_TIS1C 127 TESLA_. (	NO	4985093515
562724	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	13			1342	pcb assy VDC Top	NA	HALB	S.Real	283.79	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
562726	10/12/2014	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	2			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	56.02	S1_TG1C NISSAN_J.JAIME	NO	4985093118
562728	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8314420093	NA	A2C8314420093	1			1342	circuit board assy TPM Top	NA	HALB	S.Real	32.12	S1_TG1C UNIVERSAL_J.JAI	NO	4985093381
562730	10/12/2014	ZSCR	551	034-2	NA	'015	A2C3735150093	NA	A2C3735150093	2			1342	circuit board assy TPM TOP	NA	HALB	S.Real	51.98	S1_TG1C NISSAN_J.JAIME	NO	4985093145
562739	10/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	8			1342	module assy TPM	NA	HALB	S.Real/AutoBF	330.4	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
562752	10/12/2014	ZSCR	551	040-1	NA	'015	A2C53402100	NA	A2C53402100	1			1401	module assy TPM	NA	HALB	S.Real/AutoBF	40.17	S1_TG1C HYUNDAI_A.ADRIA	NO	4985094249
562755	10/12/2014	ZSCR	551	040-1	NA	'015	A2C82208300	NA	A2C82208300	1			1401	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	44.1	S1_TG1C NISSAN_J.JAIME	NO	4985094579
562757	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8551390093	NA	A2C8551390093	1			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	23.23	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
562759	10/12/2014	ZSCR	551	034-2	NA	'015	A2C3156350093	NA	A2C3156350093	9			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	252.09	S1_TG1C NISSAN_J.JAIME	NO	4985093118
562760	10/12/2014	ZSCR	551	034-2	NA	'015	A2C3735150093	NA	A2C3735150093	5			1342	circuit board assy TPM TOP	NA	HALB	S.Real	129.95	S1_TG1C NISSAN_J.JAIME	NO	4985093145
562761	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8551390093	NA	A2C8551390093	1			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	23.23	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
562763	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8749600093	NA	A2C8749600093	1			1342	pcb assy BCU Top	NA	HALB	S.Real	21.21	S5_TIS1C127 NISSAN_C.CA	NO	4985093595
562764	10/12/2014	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	1			1342	pcb assy VDC Top	NA	HALB	S.Real	21.83	S1_TIS 1D CHRYSLER_J.JA	NO	4985093473
562797	10/12/2014	ZSCR	551	030-1	NA	'015	A2C3156350093	NA	A2C3156350093	1			1301	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	28.01	S1_TG1C NISSAN_J.JAIME	NO	4985093049
562812	10/12/2014	ZSCR	551	034-2	NA	'015	S180150005	NA	A2C8673310193	1			1342	circuit board assy TPM Top	NA	HALB	S.Real	21.95	S1_TIS 1C MMC_J.JAIME J	NO	4985093436
562899	10/12/2014	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53328411T	8			1342	circuit board assy	NA	HALB	S.Real	573.12	S1_DCU_A.ADRIAN CEBALLO	NO	4985092588
562900	10/12/2014	ZSCR	551	042-4	NA	'015	A2C53328411	NA	A2C53328411T	8			1424	circuit board assy	NA	HALB	S.Real	573.12	S1_DCU_A.ADRIAN CEBALLO	NO	4985092595
562958	10/12/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C32880100	3			1342	module assy TPM	NA	HALB	S.Real/AutoBF	123.9	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
563089	10/12/2014	ZSCR	551	034-2	NA	'015	A2C31331900	NA	A2C53402397	3			1342	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	131.07	S5_HYUNDAI TPMS ECU_E.E	NO	4985093547
563090	10/12/2014	ZSCR	551	034-2	NA	'015	A2C31331900	NA	A2C53402397	3			1342	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	131.07	S5_HYUNDAI TPMS ECU_E.E	NO	4985093547
563091	10/12/2014	ZSCR	551	042-4	NA	'015	A2C31331900	NA	A2C53402397	2			1424	circuit board assy DIVZZDIVTI	NA	HALB	S.Real	87.38	S5_HYUNDAI TPMS ECU_E.E	NO	4985093553
563098	10/12/2014	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C32163600	1			1342	module assy TPM	NA	HALB	S.Real/AutoBF	38.95	S1_TG1C DCX_J.JAIME JIM	NO	4985094016
