No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00005988	2	"8K2,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00008191	21	"R LIN,22K,1%,TK100,100mW,0603"		ROH	NA	0.21	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00010444	9	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.09	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00010447	4	"4K7,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.04	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00010447	3	"4K7,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.03	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00010458	3	"R LIN,27K,1%,TK100,100mW,0603"		ROH	NA	0.06	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00010465	33	"10K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.33	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00010465	2	"10K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.02	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00010739	1	"10nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	0.01	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00010918	12	"100K,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.12	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00010918	14	"100K,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.14	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00016435	8	"1,P_CHAN,MOS,SMALLSIGNAL,25V,460mA,1.1Oh"		ROH	NA	2.56	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00018200	15	"100uH,200mA,SMD,COIL/SMT 100uH, 200mA In"		ROH	NA	10.35	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00019521	23	"22uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	17.02	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00019521	3	"22uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	2.22	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00020090	1	"C CER,X7R,47nF,10%,16V,0402,Sn"		ROH	NA	0.02	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00022909	24	"2.2nF,10%,50V,X7R,0402,TINNED,CER CAP/C1"		ROH	NA	0.24	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00022910	1	"C CER,X7R,22nF,10%,25V,0402,Sn"		ROH	NA	0.01	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00022976	4	"15pF,5%,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.04	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00024400	30	"22uF,10%,16V,SMD,TA,ELEC CAP/593D226X901"		ROH	NA	29.7	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00025918	1	"10nF,5%,50V,C0G,0805,-,CER CAP/"		ROH	NA	0.16	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00026152	7	"1,P_CHAN,MOS,POWER,60V,9.7A,400mOhm,TO25"		ROH	NA	8.47	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00030963	70	"4,EQ ISO,X7R,0612,16V,47nF,20%,20%,CAP A"		ROH	NA	16.8	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00030963	15	"4,EQ ISO,X7R,0612,16V,47nF,20%,20%,CAP A"		ROH	NA	3.6	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00030963	330	"4,EQ ISO,X7R,0612,16V,47nF,20%,20%,CAP A"		ROH	NA	79.2	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00031313	7	"R LIN,280R,1%,TK100,100mW,0603"		ROH	NA	0.07	ES_EMS 2208_ARTURO NERI	NO	4963087827	
