No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	 	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
638682	06/07/2015	ZSCR	551	030-1	NA	'054	A2C31080700	5WY89360	01	A2C3108070093	54	3011	054	 	1301	SMT Top Chrysler RT ORC MY13	#N/A	HALB	S.Real	15248.52	PS_CHRYSLER MY2013_.	NO	4991582914
638687	06/07/2015	ZSCR	551	040-1	NA	'054	A2C85841502	A2C85841502	#N/A	A2C8145580001	1	3011	054	 	1401	pcb assy RENT4 V01 (SW 02)	#N/A	HALB	S.Real	134.1	PS_RENAULT_.	NO	
638688	06/07/2015	ZSCR	551	040-2	NA	'054	A2C80612810	A2C80612810	#N/A	A2C81455800	1	3011	054	 	1402	pcb assy RENT4 V01	#N/A	HALB	S.Real	134.62	PS_RENAULT_.	NO	4991583178
638689	06/07/2015	ZSCR	551	040-1	NA	'054	A2C80612810	A2C80612810	#N/A	A2C80612810	1	3011	054	 	1401	ACU RENT4X52 MY12 S15 02 00 0 0 0 000	#N/A	FERT	NA	152.13	PS_RENAULT_.	NO	4991580828
638691	06/07/2015	ZSCR	551	040-2	NA	'054	A2C86852400	A2C86852400	#N/A	A2C86852400	1	3011	054	 	1402	ACU HMCUD MY13 S10 12 XX 0 0 0 000	#N/A	FERT	NA	244.18	PS_HYUNDAI_.	NO	4991581041
638693	06/07/2015	ZSCR	551	040-1	NA	'054	A2C91764100	A2C91764100	#N/A	A2C9257230093	1	3011	054	 	1401	pcb assy GMSMD30 Top	#N/A	HALB	S.Real	260.88	PS_SDM30_.	NO	
638695	06/07/2015	ZSCR	551	040-3	NA	'054	5WK43610	5WK43610	18	A2C53324560	80	3011	054	 	1403	certification label spool part p	#N/A	ROH	NA	42.4	PS_ARAMIS III_.	NO	4991582224
638701	06/07/2015	ZSCR	551	040-3	NA	'054	5WY89350	5WY89350	01	A2C30199000	2	3011	054	 	1403	base plate	#N/A	ROH	NA	16.66	PS_CHRYSLER MY2013_.	NO	4991582914
638701	06/07/2015	ZSCR	551	040-3	NA	'054	5WY89350	5WY89350	01	A2C53436156	2	3011	054	 	1403	cover RAP T BK	#N/A	ROH	NA	16.4	PS_CHRYSLER MY2013_.	NO	4991582914
638703	06/07/2015	ZSCR	551	040-5	NA	'054	A2C80612805	A2C80612810	#N/A	A2C53427677	1	3011	054	 	1405	pin header 50P H 2R PF 7036 D-F	#N/A	ROH	NA	10.73	PS_RENAULT_.	NO	4991583178
638705	06/07/2015	ZSCR	551	040-1	NA	'054	A2C81542300	A2C81542300	01	A2C81543200	1	3011	054	 	1401	pcb assy	#N/A	HALB	S.Real	442.38	PS_ARAMIS 2013_.	NO	4991583271
638706	06/07/2015	ZSCR	551	040-1	NA	'054	A2C81542300	A2C81542300	01	A2C81543200	1	3011	054	 	1401	pcb assy	#N/A	HALB	S.Real	442.38	PS_ARAMIS 2013_.	NO	4991583271
638708	06/07/2015	ZSCR	551	040-1	NA	'054	5WY89350	5WY89350	01	A2C31080700	1	3011	054	 	1401	airbag	#N/A	HALB	S.Real	344.3	PS_CHRYSLER MY2013_.	NO	4991582914
638709	06/07/2015	ZSCR	551	040-1	NA	'054	5WY89350	5WY89350	01	A2C31080700	1	3011	054	 	1401	airbag	#N/A	HALB	S.Real	344.3	PS_CHRYSLER MY2013_.	NO	4991582914
638710	06/07/2015	ZSCR	551	040-1	NA	'054	A2C91764100	A2C91764100	#N/A	A2C92572300	1	3011	054	 	1401	pcb assy GMSMD30	#N/A	HALB	S.Real/AutoBF	264.43	PS_SDM30_.	NO	4991580948
638711	06/07/2015	ZSCR	551	040-5	NA	'054	A2C80644604	A2C80644604	#N/A	A2C80644604	1	3011	054	 	1405	ACU DAGA3WS212 MY12 M35 24 XX 0 1 0 000	#N/A	FERT	NA	494.93	PS_ARAMIS III_.	NO	4991581491
638713	06/07/2015	ZSCR	551	040-1	NA	'054	A2C98409700	A2C96810100	#N/A	A2C98409700	1	3011	054	 	1401	pcb assy GMSMD30	#N/A	HALB	S.Real	264.05	PS_SDM30_.	NO	
638714	06/07/2015	ZSCR	551	040-1	NA	'054	A2C81542300	A2C81542300	01	A2C81542300	1	3011	054	 	1401	ACU CHRJC MY13 M30 13 10 0 1 0 000	01	FERT	NA	476.07	PS_ARAMIS 2013_.	NO	4991580849
638718	06/07/2015	ZSCR	551	034-2	NA	'054	A2C81542300	A2C81542300	01	A2C81543200	3	3011	054	 	1342	pcb assy	#N/A	HALB	S.Real	1327.14	PS_ARAMIS 2013_.	NO	4991583271
638732	06/07/2015	ZSCR	551	040-3	NA	'054	5WY89350	5WY89350	01	A2C53436156	2	3011	054	 	1403	cover RAP T BK	#N/A	ROH	NA	16.4	PS_CHRYSLER MY2013_.	NO	4991582914
638740	06/07/2015	ZSCR	551	040-3	NA	'054	A2C98409700	A2C96810100	#N/A	A2C98409700	1	3011	054	 	1403	pcb assy GMSMD30	#N/A	HALB	S.Real	264.05	PS_SDM30_.	NO	
638756	06/07/2015	ZSCR	551	034-2	NA	'054	A2C80644604	A2C80644604	#N/A	A2C95923700	1	3011	054	 	1342	pcb assy DAGARM3 V14-1	#N/A	HALB	S.Real	460.28	PS_ARAMIS III_.	NO	4991583219
638760	06/07/2015	ZSCR	551	034-2	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1342	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991580674
638769	06/07/2015	ZSCR	551	040-5	NA	'054	A2C31080700	5WY89360	01	A2C30202900	1	3011	054	 	1405	multipoint connector 84P H 2SYS AFAD	#N/A	ROH	NA	41.86	PS_CHRYSLER MY2013_.	NO	4991582914
638769	06/07/2015	ZSCR	551	040-5	NA	'054	A2C31080700	5WY89360	01	A2C53330109	1	3011	054	 	1405	socket	#N/A	ROH	NA	17.49	PS_CHRYSLER MY2013_.	NO	4991582914
638778	06/07/2015	ZSCR	551	034-2	NA	'054	A2C80644604	A2C80644604	#N/A	A2C95923700	1	3011	054	 	1342	pcb assy DAGARM3 V14-1	#N/A	HALB	S.Real	460.28	PS_ARAMIS III_.	NO	4991583219
638795	06/07/2015	ZSCR	551	034-2	NA	'054	A2C81542300	A2C81542300	01	A2C81543200	2	3011	054	 	1342	pcb assy	#N/A	HALB	S.Real	884.76	PS_ARAMIS 2013_.	NO	4991583271
638796	06/07/2015	ZSCR	551	040-5	NA	'054	A2C96810100	A2C96810100	#N/A	A2C96810100	1	3011	054	 	1405	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	334.12	PS_SDM30_.	NO	4991581598
638797	06/07/2015	ZSCR	551	034-9	NA	'054	A2C96810100	A2C96810100	#N/A	A2C96810100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	334.12	PS_SDM30_.	NO	4991580755
638798	06/07/2015	ZSCR	551	034-9	NA	'054	A2C96810100	A2C96810100	#N/A	A2C96810100	1	3011	054	 	1349	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	334.12	PS_SDM30_.	NO	4991580755
638799	06/07/2015	ZSCR	551	040-3	NA	'054	A2C91764100	A2C91764100	#N/A	A2C91764100	1	3011	054	 	1403	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	#N/A	FERT	NA	335.11	PS_SDM30_.	NO	4991581373
638804	06/07/2015	ZSCR	551	040-3	NA	'054	A2C87074800	A2C87074800	#N/A	A2C83145200	200	3011	054	 	1403	certification label identificati	#N/A	ROH	NA	60	PS_SDM30_.	NO	
638806	06/07/2015	ZSCR	551	040-5	NA	'054	A2C31080700	5WY89360	01	A2C53330109	5	3011	054	 	1405	socket	#N/A	ROH	NA	87.45	PS_CHRYSLER MY2013_.	NO	4991582914
638807	06/07/2015	ZSCR	551	040-3	NA	'054	5WK44119	5WK44119	08	A2C53324560	286	3011	054	 	1403	certification label spool part p	#N/A	ROH	NA	151.58	PS_ARAMIS III_.	NO	4991582656
638829	06/07/2015	MB1A	951	025-4	NA	'054	NA	#N/A	#N/A	A2C83046100	2	3011	054	 	1254	pcb assy JAGX150 PED	NA	HALB	S.Real	562.72	PSAD_JAGUAR PED_J.JOSE	NO	x
638837	06/07/2015	ZSCR	551	030-1	NA	'054	A2C83021100	A2C74675900	#N/A	A2C8302110093	8	3011	054	 	1301	pcb assy DAGARM3 3i DC Mex Top	#N/A	HALB	S.Real	2079.2	PSAD_ARMIN_J.JOSE ORTIZ	NO	4991583053
638844	06/07/2015	ZSCR	551	030-1	NA	'054	A2C8145580092	A2C80612810	#N/A	A2C81455600	12	3011	054	 	1301	pcb 4-lay FR-4 ImSn	#N/A	ROH	NA	142.68	PS_RENAULT_.	NO	4991583178
638858	06/07/2015	ZSCR	551	040-5	NA	'054	A2C85841502	A2C85841502	#N/A	A2C53409092	479	3011	054	 	1405	cover	#N/A	ROH	NA	2351.89	PS_RENAULT_.	NO	
