No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
484284	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735300	NA	A2C83145200	300	certification label identificati	NA	ROH	NA	99	PS_SDM10+_C.CAROLINA OT	NO				
484284	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82134800	NA	A2C53333520	500	TYPE LABLE	NA	ROH	NA	190	PS_SDM10+_C.CAROLINA OT	NO				
484286	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C82535400	1	cover	NA	ROH	NA	3.37	PS_LEGACY_C.CAROLINA OT	NO				
484286	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C53408548	12	"LSS*D7500CM 3,5X 10 A3K"	NA	ROH	NA	2.64	PS_LEGACY_C.CAROLINA OT	NO				
484286	7/4/2014	ZSCR	551	034-2	NA	'054	A2C83014200	NA	A2C83012200	1	housing 123.0x 128.0	NA	ROH	NA	18.1	PS_LEGACY_C.CAROLINA OT	NO				
484286	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82284600	NA	A2C40015599	40	"SEN/BS 15.012,TRIGGERSENSOR * BS15.012"	NA	ROH	NA	844.4	PS_LEGACY_C.CAROLINA OT	NO				
484304	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82535000	NA	A2C82535400	3	cover	NA	ROH	NA	10.11	PSAD_OPEL 4400_J.JOSE O	NO				
484425	7/4/2014	ZSCR	551	042-4	NA	'054	A2C37820800	NA	A2C37820800	1	ACU DAGARM2 MY08 M30 18 XX 0 0 0 000	NA	FERT	NA	377.33	PS_ARAMIS II MCG_F.FERN	NO				
484426	7/4/2014	ZSCR	551	040-1	NA	'054	A2C81542300	2	A2C81542300	1	ACU M30 XX 0 0 0 000	NA	FERT	NA	447.22	PS_ARAMIS 2012_E.EDWIN	NO				
484429	7/4/2014	ZSCR	551	034-2	NA	'054	A2C80644602	NA	A2C80644602	1	ACU DAGARM3 MY12 M35 24 XX 0 1 0 000	NA	FERT	NA	461.26	PS_ARAMIS III_E.EDWIN R	NO				
484430	7/4/2014	ZSCR	551	040-2	NA	'054	A2C80645002	NA	A2C80645002	1	ACU DAGARM3 MY12 M35 20 XX 0 0 0 000	NA	FERT	NA	356.88	PS_ARAMIS III_E.EDWIN R	NO				
484486	7/4/2014	ZSCR	551	034-2	NA	'054	A2C32453907	NA	A2C32453907	1	ACU DAGSTAR2 MY12 S15 24 XX 0 0 0 000	NA	FERT	NA	427.76	PSAD_DAIMLER STAR 2_A.A	NO				
484496	7/4/2014	ZSCR	551	034-3	NA	'054	A2C91085500	NA	A2C91085500	1	ACU MY11 G40 12 XX 0 1 0 000	NA	FERT	NA	390.9	PS_SDM10+_C.CAROLINA OT	NO				
484499	7/4/2014	ZSCR	551	034-2	NA	'054	5WK44252	2	5WK44252	4	BoSe VW	NA	FERT	NA	416.12	OC_BOSE VW_A.ANA TAPIA-	NO				
484521	7/4/2014	ZSCR	551	034-2	NA	'054	A2C83011900	NA	A2C83011900	1	ACU OPLA3 G30 10 370 KH	NA	FERT	NA	263.69	PSAD_OPEL 4400_J.JOSE O	NO				
484522	7/4/2014	ZSCR	551	034-2	NA	'054	A2C83011900	NA	A2C83011900	1	ACU OPLA3 G30 10 370 KH	NA	FERT	NA	263.69	PSAD_OPEL 4400_J.JOSE O	NO				
484523	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735500	NA	A2C40000025	10	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	68.3	PS_SDM10+_C.CAROLINA OT	NO				
484526	7/4/2014	ZSCR	551	040-3	NA	'054	5WK44015	NA	A2C53279667	1	ACU MY10 G40 12	NA	HALB	S.Real	405.93	OES_HONDA CR-V HE_.	NO				
484526	7/4/2014	ZSCR	551	040-3	NA	'054	5WK44017	NA	A2C53279669	1	ACU MY10 G40 12	NA	HALB	S.Real	402.55	OES_HONDA CR-V HE_.	NO				
484526	7/4/2014	ZSCR	551	040-3	NA	'054	5WK44014	NA	A2C53279666	1	ACU MY10 G40 12	NA	HALB	S.Real	405.93	OES_HONDA CR-V HE_.	NO				
484528	7/4/2014	ZSCR	551	042-4	NA	'054	A2C84043500	NA	A2C84043500	1	pcb assy	NA	HALB	S.Real	213.12	PSAD_EPSILON_O.OSCAR FO	NO				
