No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
663658	17/09/2015	ZSCR	551	030-1	NA	'054	5WK44818	NA	A2C80256400	1	1301	pcb assy HONHRS6 D_7	#N/A	HALB	S.Real	185.34	PS_HONDA HRS6_J.JUAN CH	NO	4993824121		
663659	17/09/2015	ZSCR	551	030-1	NA	'054	A2C80275901	NA	A2C8021770003	1	1301	pcb assy HONHRS6 D_20_SW	#N/A	HALB	S.Real	317.39	PS_HONDA HRS6_J.JUAN CH	NO	4993824320		
663661	17/09/2015	ZSCR	551	030-1	NA	'054	A2C85901112	NA	A2C87057001	1	1301	pcb assy DAGSTAR2 D_18	#N/A	HALB	S.Real	433.92	PSAD_DAIMLER STAR 2_A.A	NO	4993824558		
663754	17/09/2015	ZSCR	551	030-1	NA	'054	A2C53435477	NA	A2C5343547793	1	1301	pcb assy HONHRS5 V36 top side	#N/A	HALB	S.Real	187.55	PS_HONDA HRS5_.	NO	4993823907		
663755	17/09/2015	ZSCR	551	030-1	NA	'054	A2C53435477	NA	A2C5343547793	1	1301	pcb assy HONHRS5 V36 top side	#N/A	HALB	S.Real	187.55	PS_HONDA HRS5_.	NO	4993823907		
663780	17/09/2015	ZSCR	551	030-1	NA	'054	A2C53435477	NA	A2C5343547793	1	1301	pcb assy HONHRS5 V36 top side	#N/A	HALB	S.Real	187.55	PS_HONDA HRS5_.	NO	4993823907		
663807	17/09/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C35116101	1	1301	pcb assy DAGSTAR2 D_12	#N/A	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	4993824197		
663817	17/09/2015	ZSCR	551	030-1	NA	'054	A2C91764000	NA	A2C9257220093	1	1301	pcb assy GMSDM30 Top	#N/A	HALB	S.Real	154.34	PS_SDM30_.	NO	4993824803		
663818	17/09/2015	ZSCR	551	030-1	NA	'054	A2C91764000	NA	A2C9257220093	1	1301	pcb assy GMSDM30 Top	#N/A	HALB	S.Real	154.34	PS_SDM30_.	NO	4993824803		
663842	17/09/2015	ZSCR	551	030-1	NA	'054	5WK44773	NA	A2C53338029	6	1301	pcb panel multiple 6-up main	#N/A	ROH	NA	126.84	PS_ARAMIS III_.	NO	4993824092		
663900	17/09/2015	ZSCR	551	040-3	NA	'054	5WK44690	NA	A2C53397769	1	1403	housing	#N/A	ROH	NA	22.86	PS_HONDA HRS5_.	NO	4993823840		
663971	17/09/2015	ZSCR	551	040-3	NA	'054	5WK44673	NA	A2C53332366	5	1403	cover RAP T BK	#N/A	ROH	NA	38.95	PS_FIAT BRAZIL_.	NO	4993824038		
663976	17/09/2015	ZSCR	551	040-3	NA	'054	A2C82535000	NA	A2C82535500	87	1403	certification label identificati	#N/A	ROH	NA	32.19	PS_LEGACY_C.CAROLINA OT	NO	4993824471		
663984	17/09/2015	ZSCR	551	034-2	NA	'054	A2C32453903	NA	A2C53424040	100	1342	"pan head screw M3,5 x 12,00 1268"	#N/A	ROH	NA	29	PSAD_DAIMLER SMART_F.FE	NO	4993824189		
663984	17/09/2015	ZSCR	551	034-2	NA	'054	A2C32453903	NA	A2C83435000	20	1342	cover FIP T BK	#N/A	ROH	NA	356.2	PSAD_DAIMLER SMART_F.FE	NO	4993824189		
664045	17/09/2015	ZSCR	551	035-1	0	'054	A2C95268300	NA	6593811404	1428	1351	ETIQUETA P131	#N/A	ROH	NA	1085.28	PS_FORD_L.LPL AUTOMATIC	NO	STOCK		
664048	17/09/2015	ZSCR	551	035-1	0	'054	A2C89518900	NA	A2C53408691	1671	1351	label	#N/A	ROH	NA	2974.38	PS_LEGACY_L.LPL AUTOMAT	NO	4993824646		
664048	17/09/2015	ZSCR	551	035-1	0	'054	A2C84371000	NA	A2C83008400	219	1351	label identificati	#N/A	ROH	NA	50.37	PS_LEGACY_L.LPL AUTOMAT	NO	STOCK		
