No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP									
149991	ZSCR	551	042-4	NA	5WK44526	NA	A2C53375498MI2	1	3011	054		1424	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	453.43	PS_ARAMIS III_GERARDO E	4957841361									
149994	ZSCR	551	034-2	NA	5WK43966	NA	A2C37975500	1	3011	054		1342	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	469.75	PS_ARAMIS II MCG_GERARD	4957841499									
149996	ZSCR	551	034-2	NA	5WK44276	NA	A2C53362292	1	3011	054		1342	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	4957841664									
150001	ZSCR	551	034-1	NA	5WK44252	NA	A2C53364457	1	3011	054		1341	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	4957841397									
150002	ZSCR	551	042-4	NA	5WK44252	NA	A2C53364457	1	3011	054		1424	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	4957841406									
150004	ZSCR	551	030-1	NA	A2C53367547	NA	A2C53372300A	1	3011	054		1301	VW10G circuit board assy 16FL SMD Top	NA	HALB	S.Real	219.85	PS_VW10 LC_GERARDO ECHE	4957841071									
150006	ZSCR	551	030-1	NA	A2C53367546	NA	A2C53367685A	2	3011	054		1301	VW10G circuit board assy 16FL SMD Top	NA	HALB	S.Real	416.46	PS_VW10 LC_GERARDO ECHE	4957841033									
150008	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
150009	ZSCR	551	030-1	NA	5WK43967	NA	A2C53243155MI	1	3011	054		1301	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	452.31	PS_ARAMIS II MCG_GERARD	4957841487									
150010	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4957841451									
150011	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841439									
150014	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	12	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	2165.16	PS_HYUNDAI_GERARDO ECHE	4957841710									
150015	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	3011	054		1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	4957841741									
150016	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	3011	054		1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	4957841741									
