No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
560889	06/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3813640092	11				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	552.64	410098771_PASE F	NO	
560947	07/12/2014	ZSCR	551	040-4	NA	'015	A2C82168000	NA	A2C86398500	40				1404	housing assy	NA	ROH	NA	310.8	S1_CUSW UF RFHM_A.ADRIA	NO	
560969	07/12/2014	MB1A	551	012-1	95000021	'015	NA	NA	A2C3813640092	4				1121	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	200.96	410098771_PASE F	NO	
560971	07/12/2014	ZSCR	551	040-1	NA	'015	A2C73552402	NA	A2C8393060092	1				1401	"""SUB FOBIK PCB TOP-ASM, NA/EU(U L) B"""	NA	HALB	S.Real	42.89	S1_PASE FOB CUSW_A.ADRI	NO	
560978	07/12/2014	ZSCR	551	034-2	NA	'015	A2C89861500	NA	A2C3229710093	2				1342	CUSW PCB ASSY BOT	NA	HALB	S.Real	48.3	S1_RKE FOB CUSW_A.ADRIA	NO	
560979	07/12/2014	ZSCR	551	034-2	NA	'015	A2C93174400	NA	A2C3813640092	1				1342	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	NA	HALB	S.Real	50.24	S1_PASE FOB CUSW_A.ADRI	NO	
560987	07/12/2014	ZSCR	551	034-2	NA	'015	A2C93174400	NA	A2C8216760093	1				1342	pcb assy Top	NA	HALB	S.Real	170.66	S1_WK_WD RFHUB_A.ADRIAN	NO	
560990	07/12/2014	ZSCR	551	034-2	NA	'050	A2C8216790093	NA	A2C82135300	8	3011	050	 	1342	pcb 4-lay FR-4 ImSn	NA	ROH	NA	260.24	S1_WK_WD RFHUB_A.ADRIAN	NO	
560993	07/12/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	1690	3011	050	 	1342	CONNECTOR FEADER	NA	ROH	NA	135.2	S1_TIPM MEDIUM_P.PABLO	NO	
560994	07/12/2014	ZSCR	551	034-2	NA	'050	A2C33279700	NA	A2C53428228	256	3011	050	 	1342	PIN	NA	ROH	NA	66.56	S1_TIPM MEDIUM_P.PABLO	NO	
560994	07/12/2014	ZSCR	551	034-2	NA	'050	A2C33279700	NA	A2C53428229	70	3011	050	 	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	21	S1_TIPM MEDIUM_P.PABLO	NO	
560995	07/12/2014	ZSCR	551	034-2	NA	'050	68163903AB	NA	A2C53428198	70	3011	050	 	1342	"PIN,SPD TERM Z02 VERISON"	NA	ROH	NA	17.5	S1_TIPM LOGIC_P.PABLO P	NO	**
560995	07/12/2014	ZSCR	551	034-2	NA	'050	68163904AB	NA	A2C53428199	110	3011	050	 	1342	"PIN,NAT"	NA	ROH	NA	7.7	S1_TIPM LOGIC_P.PABLO P	NO	**
560997	07/12/2014	ZSCR	551	040-2	NA	'015	A2C73658100	NA	A2C73658100	2	3011	015	 	1402	pcb topMAN BCU CHR PRODMY13	NA	HALB	S.Real/AutoBF	417.68	S1_TIPM MEDIUM_P.PABLO	NO	4985200389
