No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
224322	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224323	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224325	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224328	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224329	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224331	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224333	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3250900093	1	1095	circuit board assy TOP side VW20	NA	HALB	S.Real	143.9	PSAD_VW20_ULISES VILLEG	NO	4962324941		
224337	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224338	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224340	28/10/2012		MB1A	551	023-2	K96019	'054	NA	NA	A2C8397200093	1	1095	pcb topSMD Top	NA	HALB	S.Real	386.07	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
