No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	Reason Code	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
238273	27/11/2012	ZSCR	551	040-1	NA	'015	A2C53427192	NA	A2C53426161B	1	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178233		
238275	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49685	NA	A2C53278283B	1	1342	SMD SUB ASSY SMART FOB TOP ACURA 09	NA	HALB	S.Real	67.01	S5_ACURA FOB_ENRIQUE GA	NO	4963177975		
238276	27/11/2012	ZSCR	551	040-1	NA	'015	A2C53427189	NA	A2C53426160B	4	1401	SMD SUB ASSY SMART FOB BOT ACURA RDX 3B	NA	HALB	S.Real	264.72	S5_ACURA FOB_ENRIQUE GA	NO	4963178223		
238277	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53278294	NA	A2C53278294	5	1342	circuit board assy HON HONDA	NA	HALB	S.Real/AutoBF	307.5	S5_ACURA FOB_ENRIQUE GA	NO	4963178495		
238278	27/11/2012	ZSCR	551	040-1	NA	'015	A2C53278294	NA	A2C53278294	9	1401	circuit board assy HON HONDA	NA	HALB	S.Real/AutoBF	553.5	S5_ACURA FOB_ENRIQUE GA	NO	4963178633		
238279	27/11/2012	ZSCR	551	040-1	NA	'015	5WK49685	NA	A2C53278283B	2	1401	SMD SUB ASSY SMART FOB TOP ACURA 09	NA	HALB	S.Real	134.02	S5_ACURA FOB_ENRIQUE GA	NO	4963178159		
238280	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49215	NA	A2C53216751	1	1342	circuit board assy HONDA ZZDI V01 / E	NA	HALB	S.Real	81.22	S5_RXM_JORGE AGUILAR	NO	4963177951		
238281	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49210	NA	A2C53190307	1	1342	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963177920		
238284	27/11/2012	ZSCR	551	030-1	NA	'015	A2C53427342	NA	A2C53249431	1	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_ACURA ECU_ENRIQUE GA	NO	4963180366		
238284	27/11/2012	ZSCR	551	030-1	NA	'015	A2C53427342	NA	A2C5333838493	1	1301	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	179.15	S5_ACURA ECU_ENRIQUE GA	NO	4963177092		
238307	28/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	7	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	234.99	S5_TXK_JORGE AGUILAR	NO	4963177932		
238318	28/11/2012	ZSCR	551	040-2	NA	'015	5WK47832	NA	A2C53249259	1	1402	circuit board assy HONDA ZZDI	NA	HALB	S.Real	193.56	S5_SMART ECU_ENRIQUE GA	NO	4963178274		
238329	28/11/2012	ZSCR	551	030-1	NA	'015	A2C5333838493	NA	A2C5333838493	1	1301	circuit board HONDA ECU TX4 - TX6 TOP	NA	HALB	S.Real	179.15	S5_ACURA ECU_ENRIQUE GA	NO	4963177092		
238334	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49684	NA	A2C53278285	3	1301	housing bottom	NA	ROH	NA	4.74	S5_ACURA FOB_ENRIQUE GA	NO	4963180276		
238334	28/11/2012	ZSCR	551	030-1	NA	'015	A2C53278294	NA	A2C53278294	3	1301	circuit board assy HON HONDA	NA	HALB	S.Real/AutoBF	184.5	S5_ACURA FOB_ENRIQUE GA	NO	4963178440		
238334	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49684	NA	A2C53278282	3	1301	housing cover	NA	ROH	NA	4.23	S5_ACURA FOB_ENRIQUE GA	NO	4963180276		
238485	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49521H	NA	A2C53105128	1	1301	Contact Spring positive	NA	ROH	NA	0.3	S5_ACURA FOB_ENRIQUE GA	NO	4963179938		
238485	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278283B	1	1301	SMD SUB ASSY SMART FOB TOP ACURA 09	NA	HALB	S.Real	67.01	S5_ACURA FOB_ENRIQUE GA	NO	4963177067		
238485	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278285	1	1301	housing bottom	NA	ROH	NA	1.58	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
238485	28/11/2012	ZSCR	551	030-1	NA	'015	5WK49685	NA	A2C53278282	1	1301	housing cover	NA	ROH	NA	1.41	S5_ACURA FOB_ENRIQUE GA	NO	4963180290		
