No.Item	Txs SAP	Mov	Código Scrap	O.I.	OKJ	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
130419	ZSCR	551	030-1	NA	5WK50443	NA	A2C53399257	4	1301	"""pcb assy VW POLO, VECU V035"""	NA	HALB	S.Real	1375.48	4956706625
130424	ZSCR	551	034-2	NA	5WK50331	NA	A2C53398079	1	1342	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4956707414
130522	MB1A	551	035-1	B30301-02395	5WG50404	NA	A2C00046632	7	1095	"UPD76F0118GM(A1),A1,LQFP176,FLASH,32bit,"	NA	ROH	NA	318.92	4956704374
130522	MB1A	551	035-1	B30301-02395	A2C53398079	NA	A2C53252204	3	1095	receiver	NA	ROH	NA	111.93	4956704374
130522	MB1A	551	035-1	B30301-02395	5WG50404	NA	A2C53375407	14	1095	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	457.52	4956704374
130532	ZSCR	551	030-1	NA	S180039003	NA	A2C53184074	1	1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	4956706937
130534	ZSCR	551	030-1	NA	S180039003	NA	A2C53184074	1	1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	4956706937
130536	ZSCR	551	030-1	NA	S180039003	NA	A2C53184074	1	1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	4956706937
130540	MB1A	551	040-3	B30301-02395	NA	NA	A2C53311196	1	1095	cover LOP B BK	NA	ROH	NA	6.22	4956704374
130541	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111B	15	1301	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	1135.5	4956707190
130544	ZSCR	551	030-1	NA	S122736090A	NA	A2C53371606	3	1301	pcb TLS_BCM_2010	NA	ROH	NA	113.52	4956707243
130546	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4956706251
130547	ZSCR	551	030-1	NA	S122736040C	NA	A2C53251265	1	1301	SMD Sub-assembly Nissan BCM P32M	NA	HALB	S.Real	208	4956705884
130549	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4956706251
130552	ZSCR	551	030-1	NA	A2C53380883	NA	A2C53380883T	1	1301	circuit board assy VW PQ35 V05 TOP	NA	HALB	S.Real	92.7	4956706227
130568	ZSCR	551	034-1	NA	5WY8420	NA	A2C53139538	2	1341	housing BK	NA	ROH	NA	4.46	4956707327
130570	ZSCR	551	034-1	NA	5WY8420	NA	A2C53139545	2	1341	key GM CADILLA 5BUT 295	NA	ROH	NA	47.56	4956707327
130574	MB1A	551	040-3	B30301-00495	NA	NA	A2C31197800	34	1095	key	NA	ROH	NA	14.62	4956703617
130574	MB1A	551	040-3	B30301-00495	NA	NA	A2C53395685	34	1095	housing assy FOG FORD P	NA	ROH	NA	921.06	4956703617
130584	MB1A	551	040-3	B30301-02395	NA	NA	A2C53311196	1	1095	cover LOP B BK	NA	ROH	NA	6.22	4956704374
130584	MB1A	551	040-3	B30301-02395	NA	NA	A2C53340509	1	1095	"housing UPP 170,0x 180,0"	NA	ROH	NA	8.26	4956704374
130584	MB1A	551	040-3	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
