area,tecnologia,defecto,causa,division,proyecto
SMD,Horno,Sin Prueba Anterior,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Soldadura Porosa,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Soldadura Porosa,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Soldadura Porosa,Proveedor,PSAD,DAIMLER STAR 2
SMD,Horno,Tombstone,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Tombstone,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Contaminación,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Contaminación,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Contaminación,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Contaminación,Proveedor,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Cortos /Puente De Soldadura,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Cortos /Puente De Soldadura,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Cortos /Puente De Soldadura,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Exceso De Soldadura,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Exceso De Soldadura,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Exceso De Soldadura,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado A ,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado A ,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado B ,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado B ,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Panel Atorado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Panel Atorado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Panel Atorado,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Pcb Abortado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Pcb Defectuoso,Proveedor,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Perlas De Soldadura,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Perlas De Soldadura,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Set Up Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Set Up Equipo,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Soldadura Porosa,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Soldadura Porosa,METODO,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Soldadura Porosa,Proveedor,PSAD,DAIMLER STAR 2
SMD,Impresion De Pasta,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Laser,Cobre Expuesto,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Laser,Cobre Expuesto,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Laser,Cobre Expuesto,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Cobre Expuesto,Proveedor,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Duplicado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Duplicado,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Ilegible,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Ilegible,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Incorrecto,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Laser,Data Matrix Incorrecto,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Panel Atorado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Laser,Panel Atorado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Laser,Panel Atorado,METODO,PSAD,DAIMLER STAR 2
SMD,Laser,Sin Impresión De Data Matrix,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Adicional,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Boca Bajo,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Boca Bajo,METODO,PSAD,DAIMLER STAR 2
SMD,Siplace,Componente Con Polaridad Invertida,Mano De Obra,PSAD,DAIMLER STAR 2
