No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
620085	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620086	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
620089	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620090	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620115	14/05/2015	ZSCR	551	040-3	NA	'054	A2C86852400	NA	A2C87110200	4	3011	054	 	1403	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	871.88	PS_HYUNDAI_.	NO	
620132	14/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
620141	14/05/2015	ZSCR	551	040-4	NA	'054	A2C33330515	NA	A2C96631500	2	3011	054	 	1404	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	1022.92	PSAD_DAIMLER STAR2_ISC_	NO	
620142	14/05/2015	ZSCR	551	040-4	NA	'054	A2C33330515	NA	A2C9663150093	1	3011	054	 	1404	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	433.58	PSAD_DAIMLER STAR2_ISC_	NO	
620146	14/05/2015	ZSCR	551	040-1	NA	'054	A2C37964112	NA	A2C35116201	1	3011	054	 	1401	pcb assy DAGSTAR2 D_13	NA	HALB	S.Real	410.61	PSAD_DAIMLER STAR 2_A.A	NO	
620147	14/05/2015	ZSCR	551	040-1	NA	'054	A2C33330515	NA	A2C96631500	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	
620149	14/05/2015	ZSCR	551	040-1	NA	'054	A2C96660500	NA	A2C96660500	1	3011	054	 	1401	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	164.81	PS_FIAT BRAZIL_.	NO	
620151	14/05/2015	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1401	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	
620158	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44673	NA	A2C53332366	2	3011	054	 	1403	cover RAP T BK	NA	ROH	NA	15.58	PS_FIAT BRAZIL_.	NO	
620160	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44592	NA	A2C53397780	2	3011	054	 	1403	cover	NA	ROH	NA	6.76	PS_HONDA HRS6_J.JUAN CH	NO	
620163	14/05/2015	ZSCR	551	040-3	NA	'054	5WK43242	NA	6593331401	10	3011	054	 	1403	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	2.7	PS_HONDA HRS6_J.JUAN CH	NO	4990249101
620163	14/05/2015	ZSCR	551	040-3	NA	'054	5WK43242	NA	6593571403	20	3011	054	 	1403	ETIQUETA C/ROTULO DE ADVERTENC s/d	NA	ROH	NA	16.8	PS_HONDA HRS6_J.JUAN CH	NO	4990249127
620164	14/05/2015	ZSCR	551	050-1	NA	'054	A2C38171805	NA	A2C53424040	20	3011	054	 	1501	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	5.8	PSAD_DAIMLER STAR2_ISC_	NO	
620164	14/05/2015	ZSCR	551	050-1	NA	'054	A2C38171905	NA	A2C83435000	5	3011	054	 	1501	cover FIP T BK	NA	ROH	NA	89.05	PSAD_DAIMLER STAR2_ISC_	NO	
620165	14/05/2015	ZSCR	551	050-1	NA	'054	5WK44748	NA	A2C53397769	2	3011	054	 	1501	housing	NA	ROH	NA	45.72	PS_HONDA HRS6_J.JUAN CH	NO	
620165	14/05/2015	ZSCR	551	050-1	NA	'054	A2C94504300	NA	A2C53405780	1	3011	054	 	1501	housing	NA	ROH	NA	30.79	PS_HONDA HRS6_J.JUAN CH	NO	
620167	14/05/2015	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	217.97	PS_HYUNDAI_.	NO	
620169	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44748	NA	A2C53397769	2	3011	054	 	1403	housing	NA	ROH	NA	45.72	PS_HONDA HRS6_J.JUAN CH	NO	
620170	14/05/2015	ZSCR	551	040-3	NA	'054	5WK43025	NA	6593331401	100	3011	054	 	1403	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	27	PS_HONDA HRS6_J.JUAN CH	NO	4990249101
620171	14/05/2015	ZSCR	551	040-2	NA	'054	A2C91764400	NA	A2C40000025	8	3011	054	 	1402	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	67.04	PS_SDM30_.	NO	
620178	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44808	NA	A2C53245952	2	3011	054	 	1403	"housing FIP 152,0x 135,7"	NA	ROH	NA	48.5	PS_ARAMIS III_.	NO	
620178	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44808	NA	A2C53371768	2	3011	054	 	1403	cover FIP T GY	NA	ROH	NA	6.02	PS_ARAMIS III_.	NO	
620179	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44781	NA	A2C00014697	90	3011	054	 	1403	sticker	NA	ROH	NA	47.7	PS_VW10 LC_.	NO	4990249156
620180	14/05/2015	ZSCR	551	040-3	NA	'054	5WK44285	NA	A2C00027389	2	3011	054	 	1403	cover	NA	ROH	NA	5.66	PS_VW10 LC_.	NO	4990249402
620185	14/05/2015	ZSCR	551	040-3	NA	'054	A2C83021101	NA	A2C83021400	1	3011	054	 	1403	pin header 84P H 3R THP BK	NA	ROH	NA	43.44	PS_LEGACY_C.CAROLINA OT	NO	
620185	14/05/2015	ZSCR	551	040-3	NA	'054	A2C83377600	NA	A2C83043800	3	3011	054	 	1403	bracket capacitor	NA	ROH	NA	9.99	PS_LEGACY_C.CAROLINA OT	NO	
620185	14/05/2015	ZSCR	551	040-3	NA	'054	A2C83007700	NA	A2C83519100	1	3011	054	 	1403	PIN CONNECTOR 30 POL.	NA	ROH	NA	18.56	PS_LEGACY_C.CAROLINA OT	NO	
620253	14/05/2015	ZSCR	551	050-5	NA	'054	A2C89711901	NA	A2C83021101	8	3011	054	 	1505	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real	2855.92	PSAD_ARMIN_J.JOSE ORTIZ	NO	
620260	14/05/2015	ZSCR	551	040-5	NA	'054	A2C86852400	NA	A2C86851900	5	3011	054	 	1405	multipoint connector 66P H 2SYS 5005	NA	ROH	NA	153.8	PS_HYUNDAI_.	NO	
620261	14/05/2015	ZSCR	551	040-2	NA	'054	A2C83711000	NA	A2C53394880	6	3011	054	 	1402	base plate B	NA	ROH	NA	30.24	PS_VW20 MQB_.	NO	
620378	15/05/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C9663160093	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	338.6	PSAD_DAIMLER STAR2_ISC_	NO	
620379	15/05/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C9663160093	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	338.6	PSAD_DAIMLER STAR2_ISC_	NO	
620380	15/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	
