No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563332	11/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080093	NA	A2C9449080093	1	1301	pcb assy HONHRS5 V28 TOP	NA	HALB	S.Real	144.44	PS_HONDA HRS6_J.JUAN CH	NO	
563334	11/12/2014	ZSCR	551	030-1	NA	'054	A2C53181243A	NA	A2C53171497	12	1301	pcb panel multiple 6-up main	NA	ROH	NA	228.24	PS_VW10 LC_U.ULISES VIL	NO	
563335	11/12/2014	ZSCR	551	030-1	NA	'054	A2C82540900	NA	A2C82535900	12	1301	pcb 4-lay sample	NA	ROH	NA	305.28	PSAD_OPEL 4400_J.JOSE O	NO	
563338	11/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
563340	11/12/2014	ZSCR	551	030-1	NA	'054	A2C53388687	NA	A2C53342620	12	1301	pcb DC main	NA	ROH	NA	220.56	PS_ARAMIS 2012_.	NO	
563341	11/12/2014	ZSCR	551	030-1	NA	'054	A2C83016100	NA	A2C8301620093	1	1301	pcb assy OPLA3 301 AU/SN lado top	NA	HALB	S.Real	184.09	PSAD_OPEL 4400_J.JOSE O	NO	
563342	11/12/2014	ZSCR	551	030-1	NA	'054	A2C82542000	NA	A2C8254200093	1	1301	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	
563343	11/12/2014	ZSCR	551	030-1	NA	'054	A2C82542000	NA	A2C8254200093	1	1301	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	
563344	11/12/2014	ZSCR	551	030-1	NA	'054	A2C53398590	NA	A2C53399620A	1	1301	circuit board assy	NA	HALB	S.Real	175.21	PS_HONDA HRS5_.	NO	
563374	11/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
