No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
175221	05/07/2012	ZSCR	551	040-2	NA	5WK50331	NA	A2C53398079	1	1402	"pcb assy VW POLO, VECU v020"	NA	HALB	S.Real	294.31	S4_PQ25_MIGUEL ZAVALA-M	NO	4959427674
175267	05/07/2012	ZSCR	551	040-2	NA	5WG50412	NA	A2C53420002	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	374.86	S4_PQ35 5TA GEN_MIGUEL	NO	4959427772
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	6577362054	53	1351	"100NF,10%,50V,X7R,0805,NISN,CE"		ROH	NA	2.65	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	6591312043	2	1351	"6.2V,350MW, SOT23, ZENER,STAB"		ROH	NA	0.18	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	6591312054	5	1351	RECTIFICADOR BAS16 85V;0.215A		ROH	NA	0.4	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	6591602029	26	1351	TRANSISTOR BCP55 SOT23		ROH	NA	15.08	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	6592362075	7	1351	"QUARTZES / 455KHZ/0,5%/"		ROH	NA	25.9	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	6594362018	3	1351	"CERAMIC CAPACITORS /4,7NF/5%/5"		ROH	NA	0.06	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	6594362074	23	1351	"1NF,10%,50V,X7R,0603,NISN,CER"		ROH	NA	0.46	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	6594362074	16	1351	"1NF,10%,50V,X7R,0603,NISN,CER"		ROH	NA	0.32	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	6594602046	6	1351	"60V, 0.5A,SOT223 NPN DARL. BIP"		ROH	NA	4.98	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	9152238	15	1351	"33K,5%,TK250,63MW,0603,FIX RES"		ROH	NA	0.15	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	9166568	3	1351	"4K99,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.06	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00000456	33	1351	"1,NPN,NORMAL,100mA,45V,SOT23,BIP/BC847CE"		ROH	NA	2.64	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00000797	194	1351	"4,OP AMP,4.5MHz,SO14,OP-COMP/MC33074"		ROH	NA	465.6	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00003685	85	1351	"R LIN,10K,5%,TK200,100mW,0603"		ROH	NA	0.85	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00003685	522	1351	"R LIN,10K,5%,TK200,100mW,0603"		ROH	NA	5.22	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	A2C00003864	470	1351	"270K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	4.7	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00004368	39	1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.39	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00004374	1	1351	"6K49,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.02	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00008022	6	1351	OCTAL BUS TRANSCEIVER 74AHCT245		ROH	NA	5.34	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877	NA	A2C00010739	126	1351	"10nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	1.26	S1_EZKEY_LUIS LIZARRAGA	NO	4959425937
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877T	NA	A2C00011743	14	1351	"1uF,10%,10V,X7R,0805,TINNED,CER CAP/++ u"		ROH	NA	1.26	S1_EZKEY_LUIS LIZARRAGA	NO	4959425956
175672	06/07/2012	ZSCR	551	035-1	0	A2C53309877	NA	A2C00017679	85	1351	contact spring		ROH	NA	79.05	S1_EZKEY_LUIS LIZARRAGA	NO	4959425937
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00018230	1	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.17	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00018642	132	1351	"47uH,340mA,SMD,COIL/B82442-A1473-K"		ROH	NA	146.52	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00018642	24	1351	"47uH,340mA,SMD,COIL/B82442-A1473-K"		ROH	NA	26.64	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00020500	26	1351	"30V,300mA,1,SCHOTTKY,SOD123,RECT DIODE/S"		ROH	NA	5.98	S1_EZKEY_LUIS LIZARRAGA	NO	4959426060
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00022742	1672	1351	"2.2nF,2%,100V,C0G,1206,TINNED,CER CAP/"		ROH	NA	668.8	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00022742	1061	1351	"2.2nF,2%,100V,C0G,1206,TINNED,CER CAP/"		ROH	NA	424.4	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	A2C00023829	3	1351	"16MHz,0.5%,CSACV,CER RESONATOR"		ROH	NA	6.78	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	A2C00024523	10	1351	"1,N_CHAN,MOS,POWER,55V,49A,0Ohm,D2PACK/T"		ROH	NA	32.4	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
175672	06/07/2012	ZSCR	551	035-1	0	A2C53312593	NA	A2C00030945	51	1351	"4,EQ ISO,konvex 1206,100K,5%,63mW,NET RE"		ROH	NA	2.04	S1_EZKEY_LUIS LIZARRAGA	NO	4959425973
175672	06/07/2012	ZSCR	551	035-1	0	A2C53349877	NA	A2C00030945	54	1351	"4,EQ ISO,konvex 1206,100K,5%,63mW,NET RE"		ROH	NA	2.16	S1_EZKEY_LUIS LIZARRAGA	NO	4959426024
175672	06/07/2012	ZSCR	551	035-1	0	A2C53350875	NA	A2C00031873	6	1351	"8.2MHz,0.2%,CSTCC,CER RESONATOR"		ROH	NA	14.7	S1_EZKEY_LUIS LIZARRAGA	NO	4959426044
