No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
149111	MB1A	551	022-2	B30301-00495	NA	NA	A2C34685500	140	3011	045		1095	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	137.2	S1_GLOBAL A_LUIS LIZARR	4957846567
149112	MB1A	551	040-2	B30301-00495	NA	NA	A2C3471080092	6	3011	045		1095	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	382.86	S1_GLOBAL A_LUIS LIZARR	4957846567
149118	ZSCR	551	040-3	NA	5WY8607	NA	A2C53353727	1	3011	045		1403	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	S1_PEPS_ (APROBACION A	4957847788
149120	ZSCR	551	034-2	NA	5WY8607R	NA	A2C53410623	110	3011	045		1342	sticker	NA	ROH	NA	47.3	S1_PEPS_ (APROBACION A	4957847120
149123	ZSCR	551	034-2	NA	5WY8604	NA	A2C00018512	120	3011	045		1342	sticker identi spool unprin	NA	ROH	NA	38.4	S1_PEPS_ (APROBACION A	4957847109
149124	ZSCR	551	030-1	NA	5WY8519	NA	A2C53350875	1	3011	045		1301	GM EZ KEY ECU PCB Vette NAM/JPN	NA	HALB	S.Real	164.95	S1_EZKEY_LUIS LIZARRAGA	4957846890
149126	ZSCR	551	022-2	NA	5WY8420	NA	A2C53309839	8	3011	045		1222	pcb GM CADILLAC	NA	ROH	NA	25.92	S1_EZKEY_LUIS LIZARRAGA	4957846669
149199	ZSCR	551	040-2	NA	5WY8519	NA	A2C00006800	5	3011	045		1402	"SIGNAL,SINGLE,5V,RELAY/V23079-A1001-B301"	NA	ROH	NA	31	S1_EZKEY_LUIS LIZARRAGA	4957847437
149204	ZSCR	551	030-1	NA	5WY8519	NA	A2C53336683	2	3011	045		1301	receiver GM CADILLA	NA	HALB	S.Real	458.08	S1_EZKEY_LUIS LIZARRAGA	4957846882
149208	ZSCR	551	040-2	NA	5WY8042	NA	6598147621	1	3011	045		1402	SMD Active Antenna	NA	HALB	S.Real	20.63	S1_EZKEY_LUIS LIZARRAGA	4957847459
149211	ZSCR	551	040-1	NA	5WY8042	NA	6598147621	1	3011	045		1401	SMD Active Antenna	NA	HALB	S.Real	20.63	S1_PEPS_ (APROBACION A	4957847274
149212	ZSCR	551	030-1	NA	5WY8042	NA	6598147621	1	3011	045		1301	SMD Active Antenna	NA	HALB	S.Real	20.63	S1_PEPS_ (APROBACION A	4957846734
149213	ZSCR	551	030-1	NA	5WY8420	NA	A2C53309877	29	3011	045		1301	GM EZ Key Trans PCB NAM	NA	HALB	S.Real	1327.04	S1_EZKEY_LUIS LIZARRAGA	4957846873
149229	ZSCR	551	034-2	NA	5WY8800	NA	A2C00011139	20	3011	045		1342	35V 20% ELECTROLYTIC CAPACITOR	NA	ROH	NA	18	S1_ABM_ (APROBACION AU	4957847150
149231	ZSCR	551	030-1	NA	5WY8799	NA	A2C53282664	1	3011	045		1301	pcb assy FOG FORD ABM Base	NA	HALB	S.Real	84.67	S1_ABM_ (APROBACION AU	4957846783
149233	ZSCR	551	030-1	NA	5WY8604	NA	40340074	1	3011	045		1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	112.48	S1_PEPS_ (APROBACION A	4957846723
149234	ZSCR	551	040-1	NA	5WY8604	NA	A2C53353727	1	3011	045		1401	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	S1_PEPS_ (APROBACION A	4957847324
149237	ZSCR	551	030-1	NA	5WY8770	NA	A2C00034525	17	3011	045		1301	"2.36mH,30mA,SMD,COIL/CAS11D28 ++PLS USE"	NA	ROH	NA	39.95	S1_PEPS_ (APROBACION A	4957846712
149237	ZSCR	551	030-1	NA	5WY8770	NA	A2C00041004	11	3011	045		1301	IC OTH/PCF7953ATJ/H1AC1700/LSP/SOT 867-1	NA	ROH	NA	400.62	S1_PEPS_ (APROBACION A	4957846712
149237	ZSCR	551	030-1	NA	5WY8770	NA	A2C00042205	15	3011	045		1301	"2.36mH,30mA,SMD,COIL/"	NA	ROH	NA	45	S1_PEPS_ (APROBACION A	4957846712
149237	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333349	40	3011	045		1301	pcb panel 1-up	NA	ROH	NA	234.4	S1_PEPS_ (APROBACION A	4957846712
