No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
286991	4/6/2013	ZSCR	551	034-2	NA	'015	A2C53429215	NA	A2C53429216	1	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	40.93	S5_TIS1C127 HMC_ADRIANA			
286992	4/6/2013	ZSCR	551	022-2	NA	'015	A2C53402099	NA	A2C53402100	4	1222	module assy TPM	NA	HALB	S.Real/AutoBF	180.68	S1_TG1C HYUNDAI_MIGUEL	4966299889		
286993	4/6/2013	ZSCR	551	034-2	NA	'015	A2C31556200	NA	A2C53311707	20	1342	housing	NA	ROH	NA	48.6	S1_TG1C NISSAN_JAIME JI	4966301852		
286994	4/6/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C81364700	2	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	90.08	S1_TG1C NISSAN_JAIME JI			
286995	4/6/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C31556200	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	43.84	S1_TG1C NISSAN_JAIME JI			
286996	4/6/2013	ZSCR	551	040-3	NA	'015	A2C81364500	NA	A2C81364700	1	1403	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	45.04	S1_TG1C NISSAN_JAIME JI			
286997	4/6/2013	ZSCR	551	034-2	NA	'015	S180052042	NA	A2C30188101	1	1342	wheel unit TPM HL	NA	HALB	S.Real/AutoBF	53.9	S5_HONDA HL LL SP37_MIG	4966301298		
286998	4/6/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53348715	1	1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	57.32	S1_TG1C DCX_JAIME JIMEN			
286999	4/6/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287000	4/6/2013	ZSCR	551	030-1	NA	'015	S180052025	NA	A2C53345109	1	1301	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU	4966299978		
287001	4/6/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287002	4/6/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287003	4/6/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287006	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287007	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287008	4/7/2013	ZSCR	551	034-2	NA	'015	A2C31556400	NA	A2C31556200	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	43.84	S1_TG1C NISSAN_JAIME JI			
287009	4/7/2013	ZSCR	551	034-2	NA	'015	A2C31556400	NA	A2C31556200	1	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	43.84	S1_TG1C NISSAN_JAIME JI			
287010	4/7/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	1	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	54.03	S1_TG1C NISSAN_JAIME JI			
287031	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53429215	NA	A2C53429216	4	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	163.72	S5_TIS1C127 HMC_ADRIANA			
287032	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53402099	NA	A2C53402100	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	135.51	S1_TG1C HYUNDAI_MIGUEL			
287033	4/7/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C31556200	3	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	131.52	S1_TG1C NISSAN_JAIME JI			
287034	4/7/2013	ZSCR	551	034-2	NA	'015	A2C34827100	NA	A2C34828100	4	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	178.72	S1_TG1C UNIVERSAL_JAIME			
287035	4/7/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C30723201	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	43.45	S5_HONDA HL LL SP37_MIG	4966301309		
287036	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	4	1342	module assy TPM	NA	HALB	S.Real/AutoBF	178.16	S1_TG1C DCX_JAIME JIMEN			
287053	4/7/2013	ZSCR	551	040-2	NA	'015	5WY8816	NA	A2C53278194	3	1402	"sealing ring 10,45x 4,4 S300Pb"	NA	ROH	NA	4.89	S1_TG1C HYUNDAI_MIGUEL			
287054	4/7/2013	ZSCR	551	040-2	NA	'015	5WY8816	NA	A2C53278172	9	1402	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	7.65	S1_TG1C HYUNDAI_MIGUEL			
287055	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53319818	NA	A2C53375809	17	1342	Valve w/ Grey cap	NA	ROH	NA	124.44	S1_TG1C HYUNDAI_MIGUEL	4966301901		
287056	4/7/2013	ZSCR	551	040-2	NA	'015	A2C53397674	NA	A2C31109500	7	1402	valve housing assy	NA	ROH	NA	43.96	S1_TG1C HYUNDAI_MIGUEL			
287057	4/7/2013	ZSCR	551	040-2	NA	'015	A2C81364500	NA	A2C53352996	2	1402	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	4.56	S1_TG1C HYUNDAI_MIGUEL			
287059	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53401334	6	1342	valve assy	NA	ROH	NA	46.44	S1_TG1C UNIVERSAL_JAIME	4966301701		
287060	4/7/2013	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C53327812	5	1402	"sealing ring 10x 4,4"	NA	ROH	NA	9	S1_TG1C UNIVERSAL_JAIME			
287061	4/7/2013	ZSCR	551	030-1	NA	'015	A2C80584900	NA	A2C80584900	3	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	91.8	S5_TG1C HONDA_MIGUEL QU	4966299996		
287062	4/7/2013	ZSCR	551	030-1	NA	'015	A2C31563500	NA	A2C31563500	2	1301	circuit board assy TPM	NA	HALB	S.Real/AutoBF	61.42	S1_TG1C NISSAN_JAIME JI	4966299946		
287063	4/7/2013	ZSCR	551	030-1	NA	'015	A2C32163600	NA	A2C31442400	4	1301	circuit board assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	121.88	S1_TG1C DCX_JAIME JIMEN	4966299915		
287065	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	133.62	S1_TG1C DCX_JAIME JIMEN			
287066	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C32163600	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	44.54	S1_TG1C DCX_JAIME JIMEN			
287067	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C00046497	2	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	19.18	S1_TG1C DCX_JAIME JIMEN	4966301690		
287069	4/7/2013	ZSCR	551	034-2	NA	'015	5WY8816	NA	A2C34828400	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.49	S1_TG1C UNIVERSAL_JAIME			
287070	4/7/2013	ZSCR	551	034-2	NA	'015	A2C83144100	NA	A2C84455900	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.91	S1_TG1C UNIVERSAL_JAIME			
287071	4/7/2013	ZSCR	551	034-2	NA	'015	A2C84455800	NA	A2C84455800	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	101.54	S1_TG1C UNIVERSAL_JAIME			
287072	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287073	4/7/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	53.87	S5_TG1C HONDA_MIGUEL QU			
287074	4/7/2013	ZSCR	551	034-2	NA	'015	A2C53386128	NA	A2C53345109	2	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	107.74	S5_TG1C HONDA_MIGUEL QU			
287075	4/7/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53311707	5	1342	housing	NA	ROH	NA	12.15	S1_TG1C NISSAN_JAIME JI	4966302043		
287076	4/7/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C31556200	3	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	131.52	S1_TG1C NISSAN_JAIME JI			
287077	4/7/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C81364700	2	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	90.08	S1_TG1C NISSAN_JAIME JI			
